domain,story_label,title,content
cnn.com,Gay Marriage ,supreme court rules states allow samesex,carlos mcknight washington waves rainbow flag support samesex marriage june 26 photos states approved samesex marriage supreme court ruling kathy petterson left beverly reicks leave douglas county clerks office june 26 samesex couple wed omaha nebraska rep mark takano california sings national anthem june 26 members gay mens chorus washington group samesex marriage advocates film video selfie supreme court june 26 laura zinszer left angela boyle kiss receiving marriage license june 26 columbia missouri boone countys samesex couple receive marriage license doug mest left mark
cnn.com,Brett Kavanaugh picked for SCJ,trump picks brett kavanaugh supreme,washington dc  june 26 sen susan collins rme attends lunch meeting republican lawmakers cabinet room white house june 26 2018 washington dc president called supreme courts 54 ruling favor administrations travel ban tremendous victory according published reports photo al dragopoolgetty images neil gorsuch supreme court nominee president donald trump sworn senate judiciary committee confirmation hearing washington dc monday march 20 2017 gorsuch goes senate committee heavy favorite given republican control win confirmation lifetime seat nations highest court photographer andrew harrerbloomberg getty images justices
cnn.com,Trump Inauguration,inauguration day 2017 historic moment,washington cnn — donald trump 45th president united states friday vowing drain power washington elites america dealings world moment transformative political change arrived white house time president 5 pm et following day tradition marking power shift nations capital timehonored ceremony flagdraped west capitol earlier afternoon trump placed left hand family bible belonged abraham lincoln promised preserve protect defend constitution light rain began fall crowd stretching washington monument trump took oath office chief justice john
cnn.com,George Floyd Death,heated protests george floyds death continue minnesota governor warns extremely dangerous,minneapolis cnnhundreds remained streets minneapolis late wednesday night protesting death george floyd 46yearold black man died pleading help police officer pinned ground knee floyds neck demonstrations began wednesday initially peaceful turned extremely dangerous according minnesota gov tim walz situation near lake street hiawatha minneapolis evolved extremely dangerous situation walz said twitter everyones safety leave area allow firefighters paramedics scene police officers created barrier outside police precinct protesters targeting smashing windows throwing items including water bottles
cnn.com,Russia Invades Ukraine,official says 1000 russian troops enter,ukrainian army officer said fullscale invasion country way thursday official said 1000 russian troops crossed ukraines southern border fight alongside prorussian rebels officials said russian troops directly involved latest fighting despite moscows denials rebels backed russian tanks armored personnel carriers fought ukrainian forces fronts thursday southeast rebelheld donetsk nations southern coast town novoazovsk 12 miles 20 kilometers russian border said mykhailo lysenko deputy commander ukrainian donbas battalion fullscale invasion lysenko said referring fighting south intelligence indicates
foxnews.com,Hurricane Katrina,keeping record straight katrina,keeping record straight katrina story subject evenings talking points memo ground zero hate bush movement new york times company behavior wake hurricane katrina wonders ceo janet robinson lost control operation theres question bush administration slow getting relief hurricane zone thats legitimate criticism personal attacks president bush new york times company includes boston globe pale examples  farleft globe columnist james carroll bystanderinchief course george w bush whining selfobsession perfectly embodies america  farleft times
foxnews.com,Hussein Executed,saddam hussein executed hanging,saddam hussein shotgunwaving dictator ruled iraq remorseless brutality quartercentury taken gallows executed saturday iraqi staterun television reported grim end 69yearold leader vexed presidents despite ouster washington allies new iraqi leaders remain mired fight quell stubborn insurgency saddam loyalists vicious sectarian conflict • obituary saddam hussein 19372006 hanged saddams halfbrother barzan ibrahim awad hamed albandar chief justice revolutionary court staterun iraqiya television news announcer said criminal saddam hanged death execution started criminal saddam barzan awad albandar
foxnews.com,Swine Flu,government intensely track h1n1 shot,3000 people day heart attack youre day h1n1 flu shot worry vaccine blame likely culprit burgers fries government starting unprecedented track possible effects mass flu vaccinations begin month idea detect rare real problems quickly explain inevitable coincidences sure cause false alarms day bad things happen people vaccinate lot people short period time things going happen people chance said dr daniel salmon vaccine safety specialist department health human services health authorities hope vaccinate
foxnews.com,Obama Elected,fox news exit poll,nations electorate focused economy change  democrat barack obamas biggest strengths  bring victory republican john mccain items illustrate election 75 percent voters said country headed wrong direction 46 percent 2004 31 percent 2000 voters went solidly obama — 62 percent 36 percent mccain voters saying country right track  21 percent voters  broke mccain 71 percent 28 percent expected economy overwhelmed issues 63 percent voters said important issue facing country addition 50 percent said worried economys
foxnews.com,Boston Marathon Bombings,3 dead 130 injured 2 bombs explode near boston marathon finish,image 1 3 prev image 2 3 prev image 3 3 bombs exploded crowded streets near finish line boston marathon monday killing people injuring 130 bloody scene shattered glass severed limbs raised alarms terrorists struck white house official speaking condition anonymity investigation unfolding said attack treated act terrorism president barack obama vowed responsible feel weight justice unexploded bombs near end 262mile course appeared wellcoordinated attack safely disarmed according senior
foxnews.com,Japan Earthquake & Tsunamis,hundreds bodies japan massive tsunami spawned,japanese police say 200 300 bodies northeastern coastal area massive earthquake spawned ferocious tsunami friday swept away boats cars homes magnitude 89 offshore quake  largest japans history  unleashed 23foot tsunami followed 50 aftershocks hours magnitude 60 bodies sendai city closest major city epicenter japanese police said officials said 110 confirmed dead 350 people missing police said 544 people injured death toll likely continue climbing given scale fridays disaster tsunami waves generated massive quake hit far hawaii alaska oregon coast friday morning
foxnews.com,London Olympics ,london 2012 closing ceremony rio janeiro takes torch britain closes rock  roll,brazil 2012 olympic games came close londons mayor boris johnson passed olympic flag decorated symbolic rings eduardo paes rio janeiros mayor waved oversized flag pride following brazilian national anthem ceremony culminated carnival fashion brazilian samba dancers capoeira artists singers rappers welcomed world home country 2016 olympic games kicking aug 5 victorias secret supermodel alessandra ambrosio brazils soccer legend pelé took festivities glorious weeks nevertobeforgotten moments left britain exhausted exhilarated deeply proud organizers handed baton 2016 host brazil
foxnews.com,Russia Invades Ukraine,ukraine official russia launched armed invasion,russian troops moved crimea friday officials told fox news prompting ukraine accuse russia armed invasion white house president obama said government deeply concerned reports russian military movements warned violation ukraines sovereignty deeply destabilizing costs military intervention said specifying costs officials told fox news evidence air maritime movement crimea russian forces pentagon declined officially characterize movement agence france press quoted ukranian official saying russian aircraft carrying nearly 2000 suspected troops landed military air base
foxnews.com,Trump Inauguration,fact check trump overstates crowd size,image 1 3 prev image 2 3 prev image 3 3 president donald trumps speech saturday headquarters central intelligence agency turned latest battle running war media central complaints media misrepresented size crowd inauguration incorrectly reported bust martin luther king jr removed oval office look assertions trump speech looked field — looked like million million half people president went say network said drew 250000 people thats bad lie claimed 250000 right stage rest know 20block
foxnews.com,Gay Marriage ,gay marriage supreme court got,new listen fox news articles homophobe bigot believe supreme court tragic error today creating air imaginary right gay marriage fridays landmark mistake legal sociological spiritual consequences years come consider legal ramifications fridays decision enshrining gay marriage civil right court opening floodgate litigation individuals businesses refuse honor samesex marriages religious convictions gay marriage civil right opposes guilty civil rights violation seen bakeries florists wedding chapels sued cases
foxnews.com,Trump Elected,trump wins presidency defeats clinton historic election,new listen fox news articles donald trump defying pundits polls end defeated hillary clinton tuesdays presidential election claimed establishmentstunning victory exposes depth voter dissatisfaction  signals immense changes ahead american policy home abroad seventeen months billionaire tycoons trump tower entrance race firsttime candidate dismissed political elite 45th president fox news projects speaking cheering supporters early wednesday morning victory party new york city republican candidate presidentelect said clinton called congratulate fox news confirms conceded despite hardfought campaign trump
foxnews.com,BP Oil Spill,bp spill response plans severely,new orleans — glaring errors omissions bps oil spill response plans exposed slapdash effort follow environmental rules outraging gulf coast residents beaches unprepared company bp plcs 582page regional spill plan gulf 52page sitespecific plan deepwater horizon rig vastly understate dangers posed uncontrolled leak vastly overstate companys preparedness deal according associated press analysis lengthy plans approved federal government year bp drilled illfated louisiana gov bobby jindal incensed wednesday reading ap story said bp reactive — proactive — look obvious everybody
foxnews.com,Area 51 Raid,storm area 51 raid brings alien community believers nevada,bright lights bustling streets downtown las vegas famous fremont street dusty dry remote nevada highdesert storm area 51 hype brought true believers inforce certain universe alien research center hiko nev storm area 51 basecamp place friday saturday steady stream people perused alieninspired gifts store magnets tshirts christmas ornaments decked impress visitors world kelly bourbon las vegas angel provide wichita kan sported similarlooking tshirts read mars needs women beam explained theyve followed alien
foxnews.com,Brett Kavanaugh picked for SCJ,trump nominates brett kavanaugh supreme,new listen fox news articles president trump nominated appeals court judge brett kavanaugh supreme court monday night replace retiring justice anthony kennedy ending dayslong guessing game began moment kennedy announced retirement setting stage grueling confirmation fight televised remarks east room white house president praised called kavanaughs impeccable credentials unsurpassed qualifications proven commitment equal justice law america qualified position deserving trump said kavanaugh considered frontrunner kennedys june 27 retirement announcement trump conducted swift decisive vetting
foxnews.com,George Floyd Death,protesters clash minneapolis police george floyds,chaos broke tuesday night minneapolis protesters took streets demand action death george floyd minnesota man died police custody day earlier police fired rubber bullets tear gas stun grenades protesters reports said protest started peacefully situation deteriorated demonstrators seen breaking windows police cars hurling rocks reports said floyd 46 died monday night video later emerged showing man ground police officer pressing knee floyds neck footage released incident showed floyd shouting breathe dont kill george floyds cousins speak heartbreak death minneapolis police custody officers
foxnews.com,January 6th,wednesdays capitol riot came fruition,new listen fox news articles congressional endeavor certifying presidential winner electoral college typically banal ritual wednesday weeks mounting emotions lawsuits overturn results insistence president trump supporters election stolen ceremonial duty jawdropping event pockmarked raid capitol shots ringing tear gas lives lost happened according military veteran heavily involved planning wednesdays protests attendees came country veterans trump bikers trump latinos trump came action president
nbcnews.com,London Olympics ,16 days 311 million average primetime viewership london olympics nbc best nonus summer olympics 36 years  nbc sports,london  august 12 2012  16 days london olympics averaged 311 million viewers primetime making mostwatched nonus summer olympics montreal olympics 1976· 16day average primetime viewership 311 million 12 16 nights 2008 beijing olympics 277 million 25 16 nights 2004 athens olympics 249 million· 16night average household rating 17630 9 higher 16 nights beijing 16228 16 higher 16 nights athens 15227 european summer olympics nights primetime coverage london olympics nbc drew average 218 million viewers mostwatched final saturday competition nonus
nbcnews.com,Obama Elected,obama wins nbc calls historic election barack,barack obama projected winner 2008 presidential election making black man elected commander chief americas 232year history democratic candidate sitting 207 electoral votes obama called winner california hawaii idaho oregon washington additional 81 electoral votes secure victory reported msnbc john mccain dominated southeast corner map night picking 6 electoral votes mississippi added north dakota column deep hole mccain slowed barack obamas momentum picking texas utah moments obama secured decisive victory ohio awarded battleground states 20
nbcnews.com,Boston Marathon Bombings,boston marathon,police runners react explosion boston marathon finish area boston massachusetts april 15 2013 simultaneous explosions ripped crowd finish line boston marathon monday killing people injuring dozens day tens thousands people pack streets watch world famous race reutersmetrowest daily newsken mcgaghhandout united states  tags crime law sport athletics tpx images day editorial use sale marketing advertising campaigns image supplied party distributed exactly received reuters service clients archives mandatory credit — metrowest daily newsken
nbcnews.com,Japan Earthquake & Tsunamis,millions food water power,sendai japan — millions people drinking water electricty adequate food sunday death toll devastating earthquake tsunami climbing japans northeast coast japans government ordered 100000 troops join rescue recovery effort thousands survivors huddled heaters emergency shelters second freezing night adding countrys woes unstable nuclear reactor fukushima prefecture near sendai japans nuclear safety agency reported radioactive cesium iodine detected near facility saturday detection materials created atomic fission prompted company acknowledge reactors fuel partially melted reactor rocked
nbcnews.com,House Speaker,speaker house pelosi makes,glass ceiling cracked nancy pelosi crashed thursday elected nations firstever female house speaker accept gavel spirit partnership partisanship look forward working behalf american people pelosi said speech colleagues nation house belong different parties serve country 66yearold san francisco democrat beamed clapped heard voice vote catapulting houses post surrounded house floor grandchildren including paul michael vos born daughter alexandra early november election vote 233202 pelosi stood holding sleeping infant — stir —
nbcnews.com,Hussein Executed,saddam hussein executed ending era,saddam hussein struggled briefly american military guards handed iraqi executioners dawn saturday final moments approached masked executioners slipped black cloth noose neck grew calm final moment defiance refused hood cover eyes hours saddam faced fate accused inflicting countless thousands quartercentury ruthless power iraqi state television showed grainy video said body head uncovered neck twisted sharp angle witnesses execution told nbc news richard engel cheering body saddam hanging — years deposed president hauled hole ground pursuing
nbcnews.com,Swine Flu,says swine flu cases,health officials lost track illnesses deaths caused global flu epidemic 40 years purpose government doctors stopped counting swine flu cases july estimated 1 million infected country number deaths sitting 600 early september health officials previously counted labconfirmed cases tally skewed people got sick tested nations stopped relying labconfirmed cases health officials say current monitoring adequate specific accurate counts swine flu means government doesnt clear picture hard infection hitting
nbcnews.com,Gay Marriage ,landmark supreme court rules samesex marriage legal,supreme court friday marriage samesex couples legal nationwide declaring refusing grant marriage licenses gay lesbian couples violates constitution landmark ruling produce significant change laws governing matrimony court struck state bans interracial marriage 50 years ago majority opinion 54 decision written justice anthony kennedy union profound marriage embodies highest ideals love fidelity devotion sacrifice family forming marital union people greater kennedy wrote petitioners cases demonstrate marriage embodies love endure past death
nbcnews.com,Hurricane Katrina,went wrong hurricane,looking devastating destruction gulf region americas beloved cities water unimaginable human anguish hard conceive events unfolded painfully aftermath 911 tough questions asked damage catastrophic storm prevented government know katrina hit went wrong accountable dateline talked say hurricane katrina didnt turn way days hurricane katrina struck secretary homeland security selfcongratulatory federal response disaster august 31 2005 department homeland security michael
nbcnews.com,Trump Elected,trump white house heres,heres whats happening — projections nbc news clinton reportedly called trump concede nbc projected election trump new hampshire michigan arizona close trump projected win key battlegrounds ohio north carolina apparent winner wisconsin pennsylvania nbc reported gop nominee apparent winner florida according nbc news trump projected winner utah state featured relatively close threeway race clinton projected winner nevada maine virginia trump projected winner states expected win alaska alabama arkansas georgia mississippi oklahoma tennessee iowa idaho indiana west
nbcnews.com,Brett Kavanaugh picked for SCJ,supreme court nominee brett,president donald trumps supreme court pick stranger partisan politics judge helping make case impeachment clinton later election george w bush years ago kavanaughs story starts amid highly politicized independent counsel investigation clinton worked starr young yale law graduate kenneth starr solicitor general later office independent counsel kavanaugh key player slew investigations clintons including whitewater scandal suicide white house counsel vincent foster clintons affair monica lewinsky starr report congress laid details clinton lewinskys affair findings
nbcnews.com,Area 51 Raid,storming area 51 september 20 heres youre unlikely aliens hiding,million people say — online — want scale fences storm area 51 topsecret air force installation nevada desert stated hope aliens decades rumored warehoused blitz scheduled sept 20 mark calendars idea effort birthed facebook clearly intended joke johnny carsons 1973 claim running toilet paper — offhand attempt humor triggered real shortage joke hordes really closely guarded federal facility poor decision according authorities bookmaker internet betting site weighing odds tsunami citizens storming
nbcnews.com,Russia Invades Ukraine,invasion russian denials crimea trigger war,prorussian forces consolidate control ukraines crimea occupying surrounding military bases key ferry terminal war words broken moscows denials military involved american officials brushed russias remarks incredulously kremlin stuck line activeduty russian personnel apparent takeover crimea weekend absolutely russian troops vladimir putins defense minister sergei shoigu declared wednesday asked forces involved questioned tiger rys armored personnel carriers seen strategic peninsula  vehicles used militaries united arab emirates russia  shoigu said
nbcnews.com,Trump Inauguration,trump inauguration world saying new,donald trump inaugurated 45th president united states nbc news takes glance people planet — world leaders ordinary citizens — saying americas new leader russia 4800 miles washington dc donald trump inauguration party swing eve trump sworn office 180 partygoers jazz club downtown moscow entertained group named trump band wellknown russianamerican singer willi tokarev released album named trumplissimo america tokarev 82 praised incoming leader unbelievable superman symbol america related 9 things trump said make putin smile secret russians welcoming
nbcnews.com,George Floyd Death,breathe man dies pleading officer attempting detain,man exclaiming breathe minneapolis police officer pinned ground knee mans neck minutes died monday night prompting fbi minnesota bureau criminal apprehension step investigate video incident shows white police officer black man pinned ground tire patrol car knee mans neck breathe man begs stomach hurts neck hurts breathe onlookers outside minneapolis deli urge officer man youre stopping breathing right think thats cool man says nose bleeding look nose says woman officer
nbcnews.com,January 6th,jan 7 highlights analysis unrest washington,new posts 200 congressional lawmakers calling trumps removal 200 members senate house support removal president donald trump according nbc news count calls reaction wednesdays riot capitol protrump mob followed months trump claiming election lost fraudulent stolen claims evidence rally wednesday trump accused inciting violence measures discussed include possible second impeachment 25th amendment democrats independents rep adam kinzinger rillinois republican trump leave office little weeks jan 20 joe biden inaugurated thursday
nypost.com,House Speaker,pelosi blasted pork,washington  redfaced house speaker nancy pelosi went damagecontrol mode yesterday republicans charged slipped loophole democrats justpassed minimumwage benefit company san francisco district legislation hiking minimum wage 725 hour covered entire united states territories  american samoa gop said samoa exempted democrat pelosi protecting food giant del monte corp based district del monte owns starkist tuna employs 5000 samoans 75 percent islands work force company opposed legislation passed wednesday legislation increases minimum wage 515 hour face gop accusations
nypost.com,Hurricane Katrina,hurricane katrina spells profit oil,b c e f g h j  finally k took oil speculators nearly half alphabet got desperately needed  hurricane named katrina punch legitimately threaten oil production gulf mexico oil goons best jacked price crude irrational level price oil rose 4 barrel point yesterday futures market 7080 easily record speculators money inflicted damage world economy guys sleep tonight tell screwballs hijacked crude market year plenty oil world according federal
nypost.com,Hussein Executed,saddam king swing byebye butcher baghdad diabolical dictator hanged  dawn delight  oppressed,butcher baghdad iraqi dictator saddam hussein  clutching koran led gallows  hanged today city ruled iron fist decades 6 baghdad time officials said death greeted elation present execution included dancing husseins body witnesses said handcuffed hussein clad completely black jacket trousers hat shoes  orange prison garb expected wear shortly execution husseins hat removed asked wanted say said sami alaskari political adviser prime minister nouri almaliki  dont want  alaskari present execution quoted ousted despot telling
nypost.com,London Olympics ,london olympics closing,fireworks seen olympic stadium lit brazilian national colors closing ceremony 2012 summer olympics london games 30th olympiad come close london weeks athletics sports competition carried 204 countries
nypost.com,Japan Earthquake & Tsunamis,90 earthquake hits,aerial view taken march 14 shows cars burnt fires triggered tsunami lined near sendai miyagi prefecture days massive 89 magnitude earthquake tsunami devastated coast eastern japan new explosion nuclear plant nearby fukushima prefecture hit punchdrunk japan march 14 raced avert reactor meltdown quaketsunami disaster feared killed 10000
nypost.com,BP Oil Spill,gulf mexico massive oil,image released bp shows main oil leak deepwater horizon rig exploded april 20 killed 11 workers bp accepted responsibility cleanup worst oil spill history leading efforts stop estimated 210000 gallons oil leaking sea
nypost.com,Swine Flu,swine flu prevention kicks high,batch swine flu vaccines hit local schools city steps efforts prevent spread potentially deadly virus influenza activity usually increases december march temperatures humidity lower urge people prepare getting vaccinated said dr thomas farley citys health commissioner schools administering free flu mist flu shots tailored swine flu known h1n1 virus city officials note h1n1 vaccination taken addition traditional flu shots seasonal influenza vaccine protect h1n1 virus protect kinds influenza people need different vaccinations seasonal influenza h1n1 influenza
nypost.com,Obama Elected,barack obama wins,barack obama scored barrierbreaking victory tonight black president united states  capping 22month quest tapped national hunger hope change age 47 serving senate term democrat cleared historic hurdle insurmountable years ago  bolstered democrats padding majority congress complete election 2008 coverage speaking 125000 supporters tonight chicago obama said doubts america place possible wonders dream founders alive time questions power democracy tonight answer long time coming tonight
nypost.com,Boston Marathon Bombings,terror attack strikes boston marathon 130 injured person,boston — 130 people injured today multiple explosions rocked boston marathon coordinated terror attack explosions detonated races finish line seconds beginning 250 pm undetonated devices later discovered authorities white house official told bloomberg news event multiple explosive devices — appears — clearly act terror homeland security committee member rep keating dma called todays explosions sophisticated coordinated event wcvb boston reporting 8yearold boy killed mondays attack lawenforcement sources said explosion occurred lobby nearby hotel authorities id
nypost.com,Russia Invades Ukraine,russian forces invade ukraine eve,russian forces backed tanks helicopters occupied ukrainian village near border crimea saturday — escalating alreadyhigh tensions eve vote crimeans seek annexation moscow ukraines military responded scrambling air force region foreign ministry denounced troop movement invasion demanded russians immediately withdraw ukraine reserves right use necessary measures stop military invasion russia ministry said statement 120 russian soldiers took southern village strilkove nearby gas plant fears targeted terrorists ukrainian officials said shots fired standoff — 80 miles crimea —
nypost.com,Gay Marriage ,supreme court approves gay marriage,supreme court ruled friday gay lesbian couples right marry american landmark decision settled contentious social issues history celebrations joyful weddings quickly followed country including 14 states banned decision president obama hailed decision white house saying arrived like thunderbolt union little perfect americans treated equal free declared justice anthony kennedy ­republican appointed ronald reagan 1988 swing vote joined courts liberal bloc provide 54 majority kennedy rejected arguments ruling
nypost.com,Trump Elected,donald trump,donald trumps vow restore americas greatness ultimately mattered insults controversies — sparking surprise shifts electorate helped upset hillary clinton despite blasting mexicans rapists criminals campaign kickoff — promising right election day build southern border wall — trump better hispanic voters 2012 republican presidential nominee mitt romney exit polling showed romneys tamer selfdeportation plan resulted 27 percent support hispanics trump — vowed forcibly deport millions illegal immigrants — 29 percent hispanics clintons share hispanic vote — increased 11 percent years electorate 10 percent 2012 —
nypost.com,Trump Inauguration,trump administration disputes crowd numbers,trump administration disputed crowd numbers swearingin ceremony despite photos released national park service showed significant difference audience president barack obamas inauguration 2009 speaking cia headquarters saturday donald trump blasted dishonest media underestimating numbers came witness swearingin 45th president friday looked honestly  looked like million half people went way washington monument turn thing mistake network showed field said drew 250000 people thats bad lie trump said later saturday white house press secretary
nypost.com,Brett Kavanaugh picked for SCJ,brett kavanaugh excellent pick supreme,staying true campaign promises president trump nominated brett kavanaugh pick replace justice anthony kennedy supreme court excellent choice — coming wave fearmongering hide fact judge kavanaugh 53 widely seen legal minds generation — nowjustice elena kagan recruited teach harvard law students spectrum rave firmly committed interpreting constitution written hes ideologue — sen ted cruz hardrightists urging trump pick democrats proceed preset strategy fighting trump picks — charging confirmation guarantees
nypost.com,Area 51 Raid,military apologizes threatening launch stealth bomber storm area 51,military apologized threatening launch stealth bomber young conspiracy theorists planning storm area 51 defense visual information distribution service tweeted photo late friday dozens military men women standing attention uniform b2 stealth bomber thing millennials attempt area51raid today tweet threatened planning storm arizona military base long rumored house government secrets aliens ufos backlash quick sparked official apology saturday night dvidshub employee posted tweet way supports stance department defense unit tweeted inappropriate apologize mistake
nypost.com,George Floyd Death,heres know death george,routine police runofthemill crime — passing bogus 20 deli ensuing death unarmed black man george floyd custody minneapolis cops resulting riots forced divided nation bitter selfreckoning cops involved axed president trump pledged expedient investigation federal law enforcement — little quell searing outrage thats lit social media left buildings ground zero minneapolis torched necessitated minnesota national guard started restaurant bouncer aspiring commercial driver floyd 46 tried buy groceries floyd — houston native previous scrapes law moved twin cities
nypost.com,January 6th,dc protests mob rioters took capitol building,fervent protests surrounding 2020 election reached ugly head wednesday afternoon — steadily brewing weeks implications years prospect huge gathering washington dc revealed president trump far dec 19 continued deny losing election joe biden big protest dc january 6th wild tweeted protest mark day bidens win certified weeks hype 6 wednesday thousands gathered capitol touted save america rally notable number wearing bulletproof vests helmets politico noted 10 trumps attorney new york mayor rudy giuliani
wsj.com,House Speaker,pelosis tuna,economists political stripe agree higher minimum wage cost lowskill workers jobs dont believe ask democratic speaker nancy pelosi house week whooped increase minimum wage 725 vote 315116 lo included boon working man loophole new higher wage floor applied united states territories  save pacific outpost american samoa immortal words congressman patrick mchenry r nc theres fishy going
wsj.com,Hussein Executed,saddam hussein executed crimes,baghdad iraq  iraqi dictator saddam hussein ironfisted rule brought death hundreds thousands compatriots hanged secrecy early saturday morning sparking conflicting emotions country gripped worsening violence nearly years downfall footage shown iraqi television mr hussein dressed white shirt black overcoat chilly night appeared calm composed final moments neatly combed bearded mr hussein stood gallows iraqi guards wearing black hats holes cut mouths eyes tied black cloth neck placed noose mr hussein led closed hatch gallows plunge death later
wsj.com,Hurricane Katrina,,katrina huge historic story human cost financial cost rendering uninhabitable great fabled american cityall amazing quick look good bad letsshootthemnow governors political leadership times crisis delicate thing frank fix youre demoralizing confident touch reality human indulging human emotions rudy giuliani set modern standard 911 way remarked public statements brilliantly specific told exactly resources way told 4 subway diverted west
wsj.com,BP Oil Spill,oil spills gulf rig,oil connected drilling rig sank gulf mexico week fiery explosion gushing crude oil raising fears severe environmental hazard oily sheen sunday covered 600 square miles area twice large boroughs new york slick spreading north 70 miles south mississippi alabama coastline coast guard
