(54.35, -35.83), RGB(red=205, green=102, blue=29)
(52.47, -10.43), RGB(red=205, green=102, blue=29)
(51.16, -33.08), RGB(red=205, green=102, blue=29)
(58.63, -33.73), RGB(red=205, green=102, blue=29)
(47.98, -14.35), RGB(red=205, green=102, blue=29)
(24.35, -39.46), RGB(red=205, green=102, blue=29)
(51.25, -21.58), RGB(red=205, green=102, blue=29)
(50.22, -46.78), RGB(red=205, green=102, blue=29)
(59.95, -35.15), RGB(red=205, green=102, blue=29)
(39.84, -47.11), RGB(red=205, green=102, blue=29)
(58.8, -18.56), RGB(red=205, green=102, blue=29)
(28.68, -21.51), RGB(red=205, green=102, blue=29)
(42.15, -23.65), RGB(red=205, green=102, blue=29)
(48.18, -25.24), RGB(red=205, green=102, blue=29)
(37.45, -9.57), RGB(red=205, green=102, blue=29)
(49.47, -22.18), RGB(red=205, green=102, blue=29)
(59.04, -33.3), RGB(red=205, green=102, blue=29)
(21.55, -27.67), RGB(red=205, green=102, blue=29)
(38.48, -25.17), RGB(red=205, green=102, blue=29)
(43.95, -46.36), RGB(red=205, green=102, blue=29)
(37.78, -18.71), RGB(red=205, green=102, blue=29)
(37.21, -46.56), RGB(red=205, green=102, blue=29)
(34.24, -38.68), RGB(red=205, green=102, blue=29)
(30.03, -37.46), RGB(red=205, green=102, blue=29)
(42.56, -22.58), RGB(red=205, green=102, blue=29)
(30.91, -47.29), RGB(red=205, green=102, blue=29)
(58.25, -32.04), RGB(red=205, green=102, blue=29)
(33.68, -9.67), RGB(red=205, green=102, blue=29)
(24.04, -35.71), RGB(red=205, green=102, blue=29)
(54.7, -37.37), RGB(red=205, green=102, blue=29)
(45.3, -19.78), RGB(red=205, green=102, blue=29)
(44.65, -48.32), RGB(red=205, green=102, blue=29)
(35.26, -29.69), RGB(red=205, green=102, blue=29)
(23.68, -35.11), RGB(red=205, green=102, blue=29)
(44.79, -20.87), RGB(red=205, green=102, blue=29)
(47.23, -42.28), RGB(red=205, green=102, blue=29)
(43.93, -7.43), RGB(red=205, green=102, blue=29)
(22.51, -22.89), RGB(red=205, green=102, blue=29)
(54.85, -47.75), RGB(red=205, green=102, blue=29)
(30.62, -44.98), RGB(red=205, green=102, blue=29)
(41.94, -18.05), RGB(red=205, green=102, blue=29)
(52.78, -20.39), RGB(red=205, green=102, blue=29)
(29.41, -35.89), RGB(red=205, green=102, blue=29)
(56.6, -31.72), RGB(red=205, green=102, blue=29)
(40.85, -15.36), RGB(red=205, green=102, blue=29)
(23.96, -26.78), RGB(red=205, green=102, blue=29)
(58.07, -42.61), RGB(red=205, green=102, blue=29)
(42.56, -17.02), RGB(red=205, green=102, blue=29)
(48.15, -51.59), RGB(red=205, green=102, blue=29)
(-32.18, -5.02), RGB(red=128, green=0, blue=128)
(-16.33, 13.75), RGB(red=128, green=0, blue=128)
(-11.39, 10.8), RGB(red=128, green=0, blue=128)
(-20.28, 13.24), RGB(red=128, green=0, blue=128)
(-28.17, 6.14), RGB(red=128, green=0, blue=128)
(-11.01, 6.68), RGB(red=128, green=0, blue=128)
(-18.98, -5.03), RGB(red=128, green=0, blue=128)
(-3.35, -2.67), RGB(red=128, green=0, blue=128)
(-16.69, -21.82), RGB(red=128, green=0, blue=128)
(-22.31, -4.52), RGB(red=128, green=0, blue=128)
(-25.94, 18.72), RGB(red=128, green=0, blue=128)
(-21.78, -5.22), RGB(red=128, green=0, blue=128)
(-40.74, -3.4), RGB(red=128, green=0, blue=128)
(-35.42, 7.78), RGB(red=128, green=0, blue=128)
(-44.24, 10.35), RGB(red=128, green=0, blue=128)
(-13.79, -7.88), RGB(red=128, green=0, blue=128)
(-17.52, -12.64), RGB(red=128, green=0, blue=128)
(-19.76, 6.02), RGB(red=128, green=0, blue=128)
(-24.21, -5.4), RGB(red=128, green=0, blue=128)
(-32.12, -22.46), RGB(red=128, green=0, blue=128)
(-19.96, 15.48), RGB(red=128, green=0, blue=128)
(-38.23, -11.78), RGB(red=128, green=0, blue=128)
(-22.12, -22.76), RGB(red=128, green=0, blue=128)
(-30.55, -8.68), RGB(red=128, green=0, blue=128)
(-27.16, -19.42), RGB(red=128, green=0, blue=128)
(-42.16, 9.26), RGB(red=128, green=0, blue=128)
(-6.73, -15.5), RGB(red=128, green=0, blue=128)
(-23.74, 14.35), RGB(red=128, green=0, blue=128)
(-5.44, 3.18), RGB(red=128, green=0, blue=128)
(-29.0, 0.14), RGB(red=128, green=0, blue=128)
(-8.73, 6.59), RGB(red=128, green=0, blue=128)
(-33.88, -15.87), RGB(red=128, green=0, blue=128)
(-25.63, 9.46), RGB(red=128, green=0, blue=128)
(-26.9, -23.82), RGB(red=128, green=0, blue=128)
(-21.01, -17.5), RGB(red=128, green=0, blue=128)
(-28.81, 15.43), RGB(red=128, green=0, blue=128)
(-40.86, 9.62), RGB(red=128, green=0, blue=128)
(-6.68, 0.7), RGB(red=128, green=0, blue=128)
(-4.82, 1.82), RGB(red=128, green=0, blue=128)
(-48.18, -6.55), RGB(red=128, green=0, blue=128)
(-42.45, -15.02), RGB(red=128, green=0, blue=128)
(-32.94, 11.58), RGB(red=128, green=0, blue=128)
(-20.37, 15.89), RGB(red=128, green=0, blue=128)
(-12.06, 15.1), RGB(red=128, green=0, blue=128)
(-13.03, 5.49), RGB(red=128, green=0, blue=128)
(-8.82, -10.96), RGB(red=128, green=0, blue=128)
(-43.15, 3.3), RGB(red=128, green=0, blue=128)
(-25.16, -17.03), RGB(red=128, green=0, blue=128)
(-44.32, -7.51), RGB(red=128, green=0, blue=128)
(-13.22, -11.92), RGB(red=128, green=0, blue=128)
(-36.15, -20.52), RGB(red=128, green=0, blue=128)
(-41.85, -3.19), RGB(red=128, green=0, blue=128)
(-13.81, -14.41), RGB(red=128, green=0, blue=128)
(-28.05, -17.12), RGB(red=128, green=0, blue=128)
(-20.17, -17.55), RGB(red=128, green=0, blue=128)
(-15.42, 17.54), RGB(red=128, green=0, blue=128)
(-30.05, 3.56), RGB(red=128, green=0, blue=128)
(-32.97, -0.31), RGB(red=128, green=0, blue=128)
(-15.68, -21.45), RGB(red=128, green=0, blue=128)
(-25.83, 16.59), RGB(red=128, green=0, blue=128)
(-43.59, -0.68), RGB(red=128, green=0, blue=128)
(-35.34, 13.69), RGB(red=128, green=0, blue=128)
(-34.84, -4.72), RGB(red=128, green=0, blue=128)
(-36.92, -10.42), RGB(red=128, green=0, blue=128)
(-24.18, 0.39), RGB(red=128, green=0, blue=128)
(-9.71, 1.56), RGB(red=128, green=0, blue=128)
(-22.52, 9.42), RGB(red=128, green=0, blue=128)
(-28.94, 11.84), RGB(red=128, green=0, blue=128)
(-33.43, -5.74), RGB(red=128, green=0, blue=128)
(-18.52, 16.74), RGB(red=128, green=0, blue=128)
(-26.46, -10.42), RGB(red=128, green=0, blue=128)
(-14.34, 4.36), RGB(red=128, green=0, blue=128)
(-15.78, 1.99), RGB(red=128, green=0, blue=128)
(-32.78, 19.57), RGB(red=128, green=0, blue=128)
(-42.39, -16.85), RGB(red=128, green=0, blue=128)
(-20.97, -17.62), RGB(red=128, green=0, blue=128)
(-44.85, 2.38), RGB(red=128, green=0, blue=128)
(-28.98, 6.97), RGB(red=128, green=0, blue=128)
(-11.93, -15.13), RGB(red=128, green=0, blue=128)
(-34.99, -4.12), RGB(red=128, green=0, blue=128)
(-44.07, 4.21), RGB(red=128, green=0, blue=128)
(-41.06, 10.03), RGB(red=128, green=0, blue=128)
(-41.71, 4.36), RGB(red=128, green=0, blue=128)
(-39.43, 12.54), RGB(red=128, green=0, blue=128)
(-11.52, -6.39), RGB(red=128, green=0, blue=128)
(-12.07, 1.57), RGB(red=128, green=0, blue=128)
(-13.52, -18.74), RGB(red=128, green=0, blue=128)
(-17.81, -1.09), RGB(red=128, green=0, blue=128)
(-32.62, -16.7), RGB(red=128, green=0, blue=128)
(-38.83, 10.84), RGB(red=128, green=0, blue=128)
(53.86, 36.28), RGB(red=176, green=226, blue=255)
(43.2, 40.9), RGB(red=176, green=226, blue=255)
(28.03, 24.56), RGB(red=176, green=226, blue=255)
(54.32, 48.48), RGB(red=176, green=226, blue=255)
(51.66, 22.31), RGB(red=176, green=226, blue=255)
(36.18, 20.06), RGB(red=176, green=226, blue=255)
(25.27, 33.45), RGB(red=176, green=226, blue=255)
(52.18, 38.89), RGB(red=176, green=226, blue=255)
(27.23, 38.9), RGB(red=176, green=226, blue=255)
(43.19, 37.4), RGB(red=176, green=226, blue=255)
(41.03, 22.45), RGB(red=176, green=226, blue=255)
(33.25, 29.46), RGB(red=176, green=226, blue=255)
(32.34, 48.15), RGB(red=176, green=226, blue=255)
(59.56, 47.71), RGB(red=176, green=226, blue=255)
(49.36, 39.32), RGB(red=176, green=226, blue=255)
(33.19, 33.95), RGB(red=176, green=226, blue=255)
(28.27, 41.74), RGB(red=176, green=226, blue=255)
(59.98, 47.5), RGB(red=176, green=226, blue=255)
(47.18, 35.04), RGB(red=176, green=226, blue=255)
(39.91, 18.8), RGB(red=176, green=226, blue=255)
(47.31, 36.44), RGB(red=176, green=226, blue=255)
(43.09, 53.7), RGB(red=176, green=226, blue=255)
(45.83, 25.31), RGB(red=176, green=226, blue=255)
(59.15, 44.43), RGB(red=176, green=226, blue=255)
(41.1, 16.88), RGB(red=176, green=226, blue=255)
(45.33, 15.41), RGB(red=176, green=226, blue=255)
(30.86, 47.34), RGB(red=176, green=226, blue=255)
(40.13, 42.17), RGB(red=176, green=226, blue=255)
(31.34, 40.02), RGB(red=176, green=226, blue=255)
(31.33, 26.03), RGB(red=176, green=226, blue=255)
(46.14, 14.8), RGB(red=176, green=226, blue=255)
(46.67, 26.92), RGB(red=176, green=226, blue=255)
(47.24, 28.49), RGB(red=176, green=226, blue=255)
(32.75, 39.76), RGB(red=176, green=226, blue=255)
(49.19, 48.42), RGB(red=176, green=226, blue=255)
(40.69, 25.83), RGB(red=176, green=226, blue=255)
(35.79, 40.55), RGB(red=176, green=226, blue=255)
(42.61, 39.3), RGB(red=176, green=226, blue=255)
(51.41, 57.7), RGB(red=176, green=226, blue=255)
(51.7, 22.91), RGB(red=176, green=226, blue=255)
(42.21, 26.01), RGB(red=176, green=226, blue=255)
(43.95, 15.88), RGB(red=176, green=226, blue=255)
(37.46, 46.44), RGB(red=176, green=226, blue=255)
(51.08, 48.83), RGB(red=176, green=226, blue=255)
(32.41, 23.71), RGB(red=176, green=226, blue=255)
(41.92, 47.63), RGB(red=176, green=226, blue=255)
(41.57, 21.48), RGB(red=176, green=226, blue=255)
(50.12, 22.2), RGB(red=176, green=226, blue=255)
(34.12, 56.62), RGB(red=176, green=226, blue=255)
(48.16, 30.58), RGB(red=176, green=226, blue=255)
(54.49, 50.08), RGB(red=176, green=226, blue=255)
(56.98, 32.09), RGB(red=176, green=226, blue=255)
(34.55, 40.04), RGB(red=176, green=226, blue=255)
(52.99, 55.82), RGB(red=176, green=226, blue=255)
(29.7, 43.02), RGB(red=176, green=226, blue=255)
(54.47, 20.97), RGB(red=176, green=226, blue=255)
(32.63, 48.6), RGB(red=176, green=226, blue=255)
(52.22, 38.46), RGB(red=176, green=226, blue=255)
(31.85, 45.94), RGB(red=176, green=226, blue=255)
(54.93, 38.58), RGB(red=176, green=226, blue=255)
(38.53, 56.43), RGB(red=176, green=226, blue=255)
(50.14, 34.99), RGB(red=176, green=226, blue=255)
(57.9, 50.1), RGB(red=176, green=226, blue=255)
(50.23, 36.61), RGB(red=176, green=226, blue=255)
(41.51, 50.43), RGB(red=176, green=226, blue=255)
(28.1, 29.68), RGB(red=176, green=226, blue=255)
(57.02, 22.47), RGB(red=176, green=226, blue=255)
(48.19, 51.25), RGB(red=176, green=226, blue=255)
(49.05, 35.87), RGB(red=176, green=226, blue=255)
(47.98, 57.37), RGB(red=176, green=226, blue=255)
(40.87, 54.24), RGB(red=176, green=226, blue=255)
(57.31, 39.67), RGB(red=176, green=226, blue=255)
(52.1, 23.27), RGB(red=176, green=226, blue=255)
(41.9, 53.78), RGB(red=176, green=226, blue=255)
(58.34, 19.3), RGB(red=176, green=226, blue=255)
(51.17, 49.66), RGB(red=176, green=226, blue=255)
(50.6, 31.5), RGB(red=176, green=226, blue=255)
(53.95, 31.14), RGB(red=176, green=226, blue=255)
(34.52, 19.77), RGB(red=176, green=226, blue=255)
(27.83, 34.61), RGB(red=176, green=226, blue=255)
(51.15, 20.11), RGB(red=176, green=226, blue=255)
(29.79, 27.52), RGB(red=176, green=226, blue=255)
(36.18, 18.27), RGB(red=176, green=226, blue=255)
(48.62, 16.19), RGB(red=176, green=226, blue=255)
(23.67, 38.84), RGB(red=176, green=226, blue=255)
(51.87, 20.21), RGB(red=176, green=226, blue=255)
(35.92, 18.23), RGB(red=176, green=226, blue=255)
(42.69, 30.23), RGB(red=176, green=226, blue=255)
(26.51, 28.15), RGB(red=176, green=226, blue=255)
(48.98, 16.69), RGB(red=176, green=226, blue=255)
(-3.95, 18.06), RGB(red=85, green=107, blue=47)
(-19.14, 38.11), RGB(red=85, green=107, blue=47)
(-10.98, 26.85), RGB(red=85, green=107, blue=47)
(-1.25, 43.68), RGB(red=85, green=107, blue=47)
(15.31, 27.91), RGB(red=85, green=107, blue=47)
(-2.49, 45.31), RGB(red=85, green=107, blue=47)
(6.93, 19.66), RGB(red=85, green=107, blue=47)
(-21.41, 50.55), RGB(red=85, green=107, blue=47)
(-26.93, 35.16), RGB(red=85, green=107, blue=47)
(3.19, 36.28), RGB(red=85, green=107, blue=47)
(10.19, 42.45), RGB(red=85, green=107, blue=47)
(-3.34, 27.98), RGB(red=85, green=107, blue=47)
(-5.32, 37.87), RGB(red=85, green=107, blue=47)
(-6.11, 54.46), RGB(red=85, green=107, blue=47)
(-11.53, 42.3), RGB(red=85, green=107, blue=47)
(-6.13, 23.25), RGB(red=85, green=107, blue=47)
(8.29, 37.45), RGB(red=85, green=107, blue=47)
(-6.51, 55.7), RGB(red=85, green=107, blue=47)
(-12.74, 23.08), RGB(red=85, green=107, blue=47)
(-23.96, 39.88), RGB(red=85, green=107, blue=47)
(-24.18, 27.17), RGB(red=85, green=107, blue=47)
(-15.86, 21.15), RGB(red=85, green=107, blue=47)
(-26.12, 45.5), RGB(red=85, green=107, blue=47)
(10.69, 47.0), RGB(red=85, green=107, blue=47)
(-1.14, 28.12), RGB(red=85, green=107, blue=47)
(13.39, 31.86), RGB(red=85, green=107, blue=47)
(-4.25, 57.72), RGB(red=85, green=107, blue=47)
(-1.62, 46.85), RGB(red=85, green=107, blue=47)
(-25.5, 28.3), RGB(red=85, green=107, blue=47)
(-7.86, 37.44), RGB(red=85, green=107, blue=47)
(6.73, 45.43), RGB(red=85, green=107, blue=47)
(-1.92, 53.2), RGB(red=85, green=107, blue=47)
(-11.66, 51.37), RGB(red=85, green=107, blue=47)
(-23.08, 44.83), RGB(red=85, green=107, blue=47)
(-21.4, 46.35), RGB(red=85, green=107, blue=47)
(-11.92, 23.55), RGB(red=85, green=107, blue=47)
(-17.85, 43.92), RGB(red=85, green=107, blue=47)
(-21.22, 46.09), RGB(red=85, green=107, blue=47)
(-10.0, 56.91), RGB(red=85, green=107, blue=47)
(-9.81, 44.42), RGB(red=85, green=107, blue=47)
(8.0, 31.46), RGB(red=85, green=107, blue=47)
(2.95, 25.16), RGB(red=85, green=107, blue=47)
(-20.36, 31.64), RGB(red=85, green=107, blue=47)
(2.36, 16.84), RGB(red=85, green=107, blue=47)
(-10.52, 52.35), RGB(red=85, green=107, blue=47)
(7.5, 34.22), RGB(red=85, green=107, blue=47)
(-5.02, 47.08), RGB(red=85, green=107, blue=47)
(-6.79, 32.78), RGB(red=85, green=107, blue=47)
(8.42, 25.45), RGB(red=85, green=107, blue=47)
(-9.55, 35.45), RGB(red=85, green=107, blue=47)
(-4.75, 42.85), RGB(red=85, green=107, blue=47)
(4.34, 52.39), RGB(red=85, green=107, blue=47)
(-0.94, 54.72), RGB(red=85, green=107, blue=47)
(-17.93, 21.64), RGB(red=85, green=107, blue=47)
(-5.09, 20.26), RGB(red=85, green=107, blue=47)
(10.4, 50.93), RGB(red=85, green=107, blue=47)
(-26.28, 41.24), RGB(red=85, green=107, blue=47)
(-6.66, 27.18), RGB(red=85, green=107, blue=47)
(4.33, 39.8), RGB(red=85, green=107, blue=47)
(5.33, 27.64), RGB(red=85, green=107, blue=47)
(-14.92, 32.03), RGB(red=85, green=107, blue=47)
(-3.14, 54.07), RGB(red=85, green=107, blue=47)
(-22.69, 41.42), RGB(red=85, green=107, blue=47)
(-27.29, 34.07), RGB(red=85, green=107, blue=47)
(-10.5, 36.61), RGB(red=85, green=107, blue=47)
(15.36, 46.85), RGB(red=85, green=107, blue=47)
(-18.36, 32.83), RGB(red=85, green=107, blue=47)
(-24.91, 32.88), RGB(red=85, green=107, blue=47)
(6.64, 30.54), RGB(red=85, green=107, blue=47)
(17.05, 34.16), RGB(red=85, green=107, blue=47)
(-14.83, 49.84), RGB(red=85, green=107, blue=47)
(-0.17, 53.95), RGB(red=85, green=107, blue=47)
(-23.91, 38.79), RGB(red=85, green=107, blue=47)
(-23.41, 27.28), RGB(red=85, green=107, blue=47)
(-2.82, 56.71), RGB(red=85, green=107, blue=47)
(-3.86, 50.51), RGB(red=85, green=107, blue=47)
(10.05, 49.3), RGB(red=85, green=107, blue=47)
(-13.76, 42.21), RGB(red=85, green=107, blue=47)
(-8.26, 23.04), RGB(red=85, green=107, blue=47)
(4.77, 41.07), RGB(red=85, green=107, blue=47)
(-17.27, 27.19), RGB(red=85, green=107, blue=47)
(-6.91, 58.41), RGB(red=85, green=107, blue=47)
(-9.22, 18.95), RGB(red=85, green=107, blue=47)
(0.47, 30.8), RGB(red=85, green=107, blue=47)
(-16.35, 18.84), RGB(red=85, green=107, blue=47)
(2.88, 57.57), RGB(red=85, green=107, blue=47)
(-19.93, 25.48), RGB(red=85, green=107, blue=47)
(-12.99, 27.85), RGB(red=85, green=107, blue=47)
(-22.29, 30.33), RGB(red=85, green=107, blue=47)
(10.63, 38.11), RGB(red=85, green=107, blue=47)
