(-6.12, 44.58), RGB(red=198, green=226, blue=255)
(4.22, 45.36), RGB(red=198, green=226, blue=255)
(-0.05, 49.27), RGB(red=198, green=226, blue=255)
(-20.01, 49.96), RGB(red=198, green=226, blue=255)
(-31.47, 39.71), RGB(red=198, green=226, blue=255)
(2.55, 43.4), RGB(red=198, green=226, blue=255)
(-27.5, 47.98), RGB(red=198, green=226, blue=255)
(-27.37, 51.08), RGB(red=198, green=226, blue=255)
(-23.11, 46.66), RGB(red=198, green=226, blue=255)
(-14.49, 52.17), RGB(red=198, green=226, blue=255)
(-4.98, 57.65), RGB(red=198, green=226, blue=255)
(-24.82, 54.46), RGB(red=198, green=226, blue=255)
(-8.02, 45.42), RGB(red=198, green=226, blue=255)
(-1.6, 52.96), RGB(red=198, green=226, blue=255)
(0.56, 42.65), RGB(red=198, green=226, blue=255)
(2.43, 50.6), RGB(red=198, green=226, blue=255)
(-33.29, 41.85), RGB(red=198, green=226, blue=255)
(-7.14, 54.42), RGB(red=198, green=226, blue=255)
(-24.29, 43.52), RGB(red=198, green=226, blue=255)
(-30.12, 49.06), RGB(red=198, green=226, blue=255)
(-5.75, 58.35), RGB(red=198, green=226, blue=255)
(-24.45, 44.35), RGB(red=198, green=226, blue=255)
(-1.47, 42.22), RGB(red=198, green=226, blue=255)
(-15.95, 43.81), RGB(red=198, green=226, blue=255)
(-5.36, 46.19), RGB(red=198, green=226, blue=255)
(-36.52, 49.81), RGB(red=198, green=226, blue=255)
(-23.12, 58.46), RGB(red=198, green=226, blue=255)
(-28.98, 39.24), RGB(red=198, green=226, blue=255)
(0.51, 58.81), RGB(red=198, green=226, blue=255)
(-23.89, 40.89), RGB(red=198, green=226, blue=255)
(0.5, 42.68), RGB(red=198, green=226, blue=255)
(-23.51, 55.3), RGB(red=198, green=226, blue=255)
(-18.8, -58.1), RGB(red=0, green=139, blue=69)
(-19.55, -43.82), RGB(red=0, green=139, blue=69)
(-1.09, -45.7), RGB(red=0, green=139, blue=69)
(-13.81, -44.97), RGB(red=0, green=139, blue=69)
(-24.81, -42.56), RGB(red=0, green=139, blue=69)
(-10.67, -51.2), RGB(red=0, green=139, blue=69)
(-25.26, -47.98), RGB(red=0, green=139, blue=69)
(0.23, -40.7), RGB(red=0, green=139, blue=69)
(2.17, -49.72), RGB(red=0, green=139, blue=69)
(-21.16, -46.62), RGB(red=0, green=139, blue=69)
(-18.1, -43.95), RGB(red=0, green=139, blue=69)
(0.44, -44.95), RGB(red=0, green=139, blue=69)
(2.61, -37.77), RGB(red=0, green=139, blue=69)
(-3.8, -53.25), RGB(red=0, green=139, blue=69)
(-19.6, -55.16), RGB(red=0, green=139, blue=69)
(-23.11, -55.32), RGB(red=0, green=139, blue=69)
(-23.42, -39.51), RGB(red=0, green=139, blue=69)
(-18.18, -42.73), RGB(red=0, green=139, blue=69)
(-22.56, -55.6), RGB(red=0, green=139, blue=69)
(7.55, -55.16), RGB(red=0, green=139, blue=69)
(-5.58, -57.92), RGB(red=0, green=139, blue=69)
(1.08, -56.01), RGB(red=0, green=139, blue=69)
(11.47, -49.91), RGB(red=0, green=139, blue=69)
(-10.67, -34.64), RGB(red=0, green=139, blue=69)
(-25.08, -46.0), RGB(red=0, green=139, blue=69)
(-12.88, -42.64), RGB(red=0, green=139, blue=69)
(-19.91, -42.44), RGB(red=0, green=139, blue=69)
(-19.91, -34.7), RGB(red=0, green=139, blue=69)
(-8.73, -43.23), RGB(red=0, green=139, blue=69)
(-17.95, -58.55), RGB(red=0, green=139, blue=69)
(-25.18, -50.48), RGB(red=0, green=139, blue=69)
(11.49, -52.58), RGB(red=0, green=139, blue=69)
(-13.14, -47.4), RGB(red=0, green=139, blue=69)
(6.51, -44.33), RGB(red=0, green=139, blue=69)
(-12.74, -32.8), RGB(red=0, green=139, blue=69)
(-24.96, -55.2), RGB(red=0, green=139, blue=69)
(-21.97, -36.7), RGB(red=0, green=139, blue=69)
(-21.9, -48.44), RGB(red=0, green=139, blue=69)
(-2.84, -37.82), RGB(red=0, green=139, blue=69)
(-1.68, -49.35), RGB(red=0, green=139, blue=69)
(-28.14, -52.5), RGB(red=0, green=139, blue=69)
(10.58, -53.52), RGB(red=0, green=139, blue=69)
(-24.2, -43.61), RGB(red=0, green=139, blue=69)
(-25.36, -44.09), RGB(red=0, green=139, blue=69)
(-7.18, -50.63), RGB(red=0, green=139, blue=69)
(2.84, -52.54), RGB(red=0, green=139, blue=69)
(-15.06, -47.85), RGB(red=0, green=139, blue=69)
(-11.6, -49.04), RGB(red=0, green=139, blue=69)
(-1.49, -55.03), RGB(red=0, green=139, blue=69)
(-1.74, -43.03), RGB(red=0, green=139, blue=69)
(-13.66, -49.66), RGB(red=0, green=139, blue=69)
(-4.01, -51.03), RGB(red=0, green=139, blue=69)
(-8.29, -38.42), RGB(red=0, green=139, blue=69)
(-31.13, -48.88), RGB(red=0, green=139, blue=69)
(-11.62, -56.24), RGB(red=0, green=139, blue=69)
(-18.52, -43.97), RGB(red=0, green=139, blue=69)
(-25.74, -56.09), RGB(red=0, green=139, blue=69)
(-18.97, -53.53), RGB(red=0, green=139, blue=69)
(-23.43, -51.07), RGB(red=0, green=139, blue=69)
(-24.32, -41.47), RGB(red=0, green=139, blue=69)
(-14.86, -43.15), RGB(red=0, green=139, blue=69)
(-4.83, -38.1), RGB(red=0, green=139, blue=69)
(-17.86, -50.25), RGB(red=0, green=139, blue=69)
(-3.43, -42.82), RGB(red=0, green=139, blue=69)
(5.34, -57.88), RGB(red=0, green=139, blue=69)
(-12.19, -43.65), RGB(red=0, green=139, blue=69)
(-22.73, -57.99), RGB(red=0, green=139, blue=69)
(-12.01, -58.3), RGB(red=0, green=139, blue=69)
(-16.67, -58.23), RGB(red=0, green=139, blue=69)
(-7.14, -59.02), RGB(red=0, green=139, blue=69)
(-15.94, -48.39), RGB(red=0, green=139, blue=69)
(-21.92, -48.04), RGB(red=0, green=139, blue=69)
(0.06, -41.43), RGB(red=0, green=139, blue=69)
(-19.63, -46.05), RGB(red=0, green=139, blue=69)
(-26.67, -55.13), RGB(red=0, green=139, blue=69)
(-8.62, -57.99), RGB(red=0, green=139, blue=69)
(-20.27, -59.38), RGB(red=0, green=139, blue=69)
(-14.44, -59.96), RGB(red=0, green=139, blue=69)
(-20.03, -39.58), RGB(red=0, green=139, blue=69)
(-2.25, -54.83), RGB(red=0, green=139, blue=69)
(-18.48, -46.44), RGB(red=0, green=139, blue=69)
(-10.53, -47.25), RGB(red=0, green=139, blue=69)
(-9.05, -57.23), RGB(red=0, green=139, blue=69)
(-17.76, -39.85), RGB(red=0, green=139, blue=69)
(-21.53, -48.68), RGB(red=0, green=139, blue=69)
(-5.07, -52.43), RGB(red=0, green=139, blue=69)
(-12.33, -52.22), RGB(red=0, green=139, blue=69)
(-0.49, -42.04), RGB(red=0, green=139, blue=69)
(11.22, -52.15), RGB(red=0, green=139, blue=69)
(-20.34, -40.85), RGB(red=0, green=139, blue=69)
(47.59, -3.52), RGB(red=205, green=190, blue=112)
(44.95, -26.52), RGB(red=205, green=190, blue=112)
(49.91, -24.38), RGB(red=205, green=190, blue=112)
(34.41, -19.31), RGB(red=205, green=190, blue=112)
(47.74, -16.97), RGB(red=205, green=190, blue=112)
(44.56, -0.35), RGB(red=205, green=190, blue=112)
(53.02, -14.61), RGB(red=205, green=190, blue=112)
(42.64, -39.31), RGB(red=205, green=190, blue=112)
(37.25, -24.74), RGB(red=205, green=190, blue=112)
(48.71, -13.3), RGB(red=205, green=190, blue=112)
(42.71, -27.81), RGB(red=205, green=190, blue=112)
(32.65, -11.11), RGB(red=205, green=190, blue=112)
(54.77, -20.77), RGB(red=205, green=190, blue=112)
(55.37, -31.15), RGB(red=205, green=190, blue=112)
(46.71, -9.01), RGB(red=205, green=190, blue=112)
(49.34, -34.25), RGB(red=205, green=190, blue=112)
(43.49, -8.48), RGB(red=205, green=190, blue=112)
(32.51, -28.24), RGB(red=205, green=190, blue=112)
(59.78, -6.26), RGB(red=205, green=190, blue=112)
(38.41, -32.83), RGB(red=205, green=190, blue=112)
(42.33, -18.5), RGB(red=205, green=190, blue=112)
(59.45, -5.84), RGB(red=205, green=190, blue=112)
(42.4, -24.67), RGB(red=205, green=190, blue=112)
(43.16, -8.97), RGB(red=205, green=190, blue=112)
(30.15, -19.24), RGB(red=205, green=190, blue=112)
(35.93, -33.21), RGB(red=205, green=190, blue=112)
(45.58, -32.54), RGB(red=205, green=190, blue=112)
(58.22, -30.52), RGB(red=205, green=190, blue=112)
(47.63, -4.45), RGB(red=205, green=190, blue=112)
(50.17, -19.45), RGB(red=205, green=190, blue=112)
(50.01, -17.19), RGB(red=205, green=190, blue=112)
(49.08, -20.58), RGB(red=205, green=190, blue=112)
(39.04, -4.86), RGB(red=205, green=190, blue=112)
(46.41, -30.47), RGB(red=205, green=190, blue=112)
(57.52, -7.64), RGB(red=205, green=190, blue=112)
(48.72, -21.67), RGB(red=205, green=190, blue=112)
(48.53, -21.92), RGB(red=205, green=190, blue=112)
(36.08, -7.15), RGB(red=205, green=190, blue=112)
(50.24, -10.31), RGB(red=205, green=190, blue=112)
(43.56, -41.47), RGB(red=205, green=190, blue=112)
(31.21, -12.49), RGB(red=205, green=190, blue=112)
(37.83, -19.73), RGB(red=205, green=190, blue=112)
(40.84, -27.82), RGB(red=205, green=190, blue=112)
(58.93, -0.37), RGB(red=205, green=190, blue=112)
(56.74, -26.29), RGB(red=205, green=190, blue=112)
(57.86, -1.15), RGB(red=205, green=190, blue=112)
(39.6, -22.42), RGB(red=205, green=190, blue=112)
(48.69, -14.29), RGB(red=205, green=190, blue=112)
(59.69, -18.19), RGB(red=205, green=190, blue=112)
(54.21, -16.93), RGB(red=205, green=190, blue=112)
(51.25, 1.75), RGB(red=205, green=190, blue=112)
(36.27, -35.61), RGB(red=205, green=190, blue=112)
(50.06, -43.59), RGB(red=205, green=190, blue=112)
(43.7, -14.06), RGB(red=205, green=190, blue=112)
(59.26, -17.82), RGB(red=205, green=190, blue=112)
(35.4, -17.24), RGB(red=205, green=190, blue=112)
(48.98, -23.7), RGB(red=205, green=190, blue=112)
(33.93, -21.56), RGB(red=205, green=190, blue=112)
(49.21, -14.25), RGB(red=205, green=190, blue=112)
(34.56, -34.19), RGB(red=205, green=190, blue=112)
(30.51, -15.06), RGB(red=205, green=190, blue=112)
(55.56, -2.66), RGB(red=205, green=190, blue=112)
(52.9, -5.97), RGB(red=205, green=190, blue=112)
(53.36, -1.95), RGB(red=205, green=190, blue=112)
(53.22, 1.63), RGB(red=205, green=190, blue=112)
(40.41, -28.7), RGB(red=205, green=190, blue=112)
(54.04, -5.77), RGB(red=205, green=190, blue=112)
(35.52, -28.15), RGB(red=205, green=190, blue=112)
(33.77, -29.82), RGB(red=205, green=190, blue=112)
(42.98, -1.56), RGB(red=205, green=190, blue=112)
(42.01, -25.39), RGB(red=205, green=190, blue=112)
(57.38, -1.26), RGB(red=205, green=190, blue=112)
(51.88, -41.56), RGB(red=205, green=190, blue=112)
(39.05, -24.72), RGB(red=205, green=190, blue=112)
(54.67, -19.59), RGB(red=205, green=190, blue=112)
(47.42, -22.92), RGB(red=205, green=190, blue=112)
(59.35, -39.67), RGB(red=205, green=190, blue=112)
(55.44, -8.03), RGB(red=205, green=190, blue=112)
(47.33, -35.99), RGB(red=205, green=190, blue=112)
(42.21, -16.95), RGB(red=205, green=190, blue=112)
(49.48, -20.89), RGB(red=205, green=190, blue=112)
(43.12, -33.82), RGB(red=205, green=190, blue=112)
(45.0, -14.49), RGB(red=205, green=190, blue=112)
(59.49, -14.62), RGB(red=205, green=190, blue=112)
(59.69, -4.69), RGB(red=205, green=190, blue=112)
(40.84, -0.66), RGB(red=205, green=190, blue=112)
(55.69, -8.3), RGB(red=205, green=190, blue=112)
(39.44, -26.72), RGB(red=205, green=190, blue=112)
(48.83, -1.1), RGB(red=205, green=190, blue=112)
(58.87, -18.9), RGB(red=205, green=190, blue=112)
(-45.54, -22.35), RGB(red=238, green=162, blue=173)
(-59.58, -31.59), RGB(red=238, green=162, blue=173)
(-54.22, -54.5), RGB(red=238, green=162, blue=173)
(-44.24, -36.35), RGB(red=238, green=162, blue=173)
(-56.48, -21.19), RGB(red=238, green=162, blue=173)
(-50.43, -46.63), RGB(red=238, green=162, blue=173)
(-48.71, -38.58), RGB(red=238, green=162, blue=173)
(-48.38, -56.57), RGB(red=238, green=162, blue=173)
(-33.2, -32.54), RGB(red=238, green=162, blue=173)
(-50.32, -33.61), RGB(red=238, green=162, blue=173)
(-34.74, -26.06), RGB(red=238, green=162, blue=173)
(-47.94, -55.87), RGB(red=238, green=162, blue=173)
(-51.0, -51.23), RGB(red=238, green=162, blue=173)
(-58.34, -56.54), RGB(red=238, green=162, blue=173)
(-42.09, -34.83), RGB(red=238, green=162, blue=173)
(-36.63, -41.16), RGB(red=238, green=162, blue=173)
(-58.82, -49.94), RGB(red=238, green=162, blue=173)
(-55.12, -35.27), RGB(red=238, green=162, blue=173)
(-54.81, -14.14), RGB(red=238, green=162, blue=173)
(-52.64, -19.9), RGB(red=238, green=162, blue=173)
(-56.51, -34.08), RGB(red=238, green=162, blue=173)
(-56.31, -54.58), RGB(red=238, green=162, blue=173)
(-47.03, -31.53), RGB(red=238, green=162, blue=173)
(-50.88, -33.21), RGB(red=238, green=162, blue=173)
(-53.46, -32.7), RGB(red=238, green=162, blue=173)
(-34.16, -30.5), RGB(red=238, green=162, blue=173)
(-44.51, -29.75), RGB(red=238, green=162, blue=173)
(-54.29, -42.88), RGB(red=238, green=162, blue=173)
(-36.55, -31.72), RGB(red=238, green=162, blue=173)
(-58.04, -53.07), RGB(red=238, green=162, blue=173)
(-42.7, -16.17), RGB(red=238, green=162, blue=173)
(-43.11, -38.79), RGB(red=238, green=162, blue=173)
(-32.99, -37.83), RGB(red=238, green=162, blue=173)
(-56.2, -49.12), RGB(red=238, green=162, blue=173)
(-45.02, -37.24), RGB(red=238, green=162, blue=173)
(-52.9, -15.63), RGB(red=238, green=162, blue=173)
(-46.04, -49.53), RGB(red=238, green=162, blue=173)
(-39.91, -27.14), RGB(red=238, green=162, blue=173)
(-42.61, -34.25), RGB(red=238, green=162, blue=173)
(-41.54, -31.21), RGB(red=238, green=162, blue=173)
(-47.65, -52.21), RGB(red=238, green=162, blue=173)
(-56.69, -17.81), RGB(red=238, green=162, blue=173)
(-51.89, -54.6), RGB(red=238, green=162, blue=173)
(-39.79, -34.34), RGB(red=238, green=162, blue=173)
(-48.84, -12.66), RGB(red=238, green=162, blue=173)
(-41.92, -40.36), RGB(red=238, green=162, blue=173)
(-40.66, -44.13), RGB(red=238, green=162, blue=173)
(-49.68, -17.26), RGB(red=238, green=162, blue=173)
(-41.1, -32.07), RGB(red=238, green=162, blue=173)
(-48.97, -37.08), RGB(red=238, green=162, blue=173)
(-36.52, -48.85), RGB(red=238, green=162, blue=173)
(-52.15, -52.35), RGB(red=238, green=162, blue=173)
(-41.59, -40.95), RGB(red=238, green=162, blue=173)
(-55.63, -48.12), RGB(red=238, green=162, blue=173)
(-55.98, -18.97), RGB(red=238, green=162, blue=173)
(-48.75, -30.07), RGB(red=238, green=162, blue=173)
(-37.32, -48.5), RGB(red=238, green=162, blue=173)
(-41.5, -27.27), RGB(red=238, green=162, blue=173)
(-43.48, -37.65), RGB(red=238, green=162, blue=173)
(-36.83, -49.34), RGB(red=238, green=162, blue=173)
(-45.44, -44.56), RGB(red=238, green=162, blue=173)
(-47.12, -21.29), RGB(red=238, green=162, blue=173)
(-41.44, -33.65), RGB(red=238, green=162, blue=173)
(-49.07, -13.55), RGB(red=238, green=162, blue=173)
(-34.86, -29.77), RGB(red=238, green=162, blue=173)
(-49.7, -38.79), RGB(red=238, green=162, blue=173)
(-57.61, -36.93), RGB(red=238, green=162, blue=173)
(-54.09, -14.26), RGB(red=238, green=162, blue=173)
(-45.5, -23.75), RGB(red=238, green=162, blue=173)
(-39.97, -20.67), RGB(red=238, green=162, blue=173)
(-51.15, -26.68), RGB(red=238, green=162, blue=173)
(-34.47, -37.03), RGB(red=238, green=162, blue=173)
(-46.07, -28.78), RGB(red=238, green=162, blue=173)
(-54.08, -38.08), RGB(red=238, green=162, blue=173)
(-39.98, -18.01), RGB(red=238, green=162, blue=173)
(-52.51, -32.77), RGB(red=238, green=162, blue=173)
(-50.19, -27.22), RGB(red=238, green=162, blue=173)
(-37.36, -29.54), RGB(red=238, green=162, blue=173)
(-58.32, -22.6), RGB(red=238, green=162, blue=173)
(-49.12, -31.38), RGB(red=238, green=162, blue=173)
(-33.58, -35.56), RGB(red=238, green=162, blue=173)
(-56.6, -28.35), RGB(red=238, green=162, blue=173)
(-54.51, -34.94), RGB(red=238, green=162, blue=173)
(-46.9, -41.02), RGB(red=238, green=162, blue=173)
(-45.86, -26.86), RGB(red=238, green=162, blue=173)
(-36.28, -21.14), RGB(red=238, green=162, blue=173)
(-45.5, -13.98), RGB(red=238, green=162, blue=173)
(-43.18, -39.6), RGB(red=238, green=162, blue=173)
(-50.13, -23.7), RGB(red=238, green=162, blue=173)
(-56.39, -19.83), RGB(red=238, green=162, blue=173)
