(8.06, 11.78), RGB(red=255, green=236, blue=139)
(-5.69, -49.9), RGB(red=34, green=139, blue=34)
(12.72, -57.13), RGB(red=255, green=193, blue=193)
(-50.85, -42.39), RGB(red=34, green=139, blue=34)
(31.48, -1.95), RGB(red=255, green=193, blue=193)
(13.95, 1.15), RGB(red=255, green=236, blue=139)
(30.25, -16.35), RGB(red=255, green=193, blue=193)
(43.98, -52.81), RGB(red=255, green=193, blue=193)
(6.78, -33.81), RGB(red=255, green=193, blue=193)
(-58.25, -38.2), RGB(red=34, green=139, blue=34)
(-48.79, -25.44), RGB(red=34, green=139, blue=34)
(-5.15, -31.73), RGB(red=34, green=139, blue=34)
(31.34, -16.18), RGB(red=255, green=193, blue=193)
(-14.34, 15.09), RGB(red=139, green=87, blue=66)
(-48.39, 53.78), RGB(red=139, green=87, blue=66)
(10.77, 48.01), RGB(red=255, green=236, blue=139)
(9.9, -6.54), RGB(red=255, green=193, blue=193)
(42.23, 48.71), RGB(red=255, green=236, blue=139)
(-28.16, 49.43), RGB(red=139, green=87, blue=66)
(42.96, -3.98), RGB(red=255, green=193, blue=193)
(43.37, 37.05), RGB(red=255, green=236, blue=139)
(9.21, 39.97), RGB(red=255, green=236, blue=139)
(30.51, 55.1), RGB(red=255, green=236, blue=139)
(-40.94, -28.14), RGB(red=34, green=139, blue=34)
(-26.64, 28.67), RGB(red=139, green=87, blue=66)
(26.78, -55.08), RGB(red=255, green=193, blue=193)
(-42.22, -29.93), RGB(red=34, green=139, blue=34)
(-47.63, -33.73), RGB(red=34, green=139, blue=34)
(35.91, 35.95), RGB(red=255, green=236, blue=139)
(-9.47, -4.47), RGB(red=34, green=139, blue=34)
(5.3, 25.47), RGB(red=255, green=236, blue=139)
(-41.4, -4.93), RGB(red=34, green=139, blue=34)
(-33.2, 32.25), RGB(red=139, green=87, blue=66)
(1.31, -29.85), RGB(red=255, green=193, blue=193)
(37.92, 43.14), RGB(red=255, green=236, blue=139)
(-13.45, 45.3), RGB(red=139, green=87, blue=66)
(51.96, 15.79), RGB(red=255, green=236, blue=139)
(-38.21, 21.14), RGB(red=139, green=87, blue=66)
(48.37, -50.71), RGB(red=255, green=193, blue=193)
(-30.67, -50.26), RGB(red=34, green=139, blue=34)
(-8.23, 16.6), RGB(red=139, green=87, blue=66)
(-18.36, 16.49), RGB(red=139, green=87, blue=66)
(52.24, -12.26), RGB(red=255, green=193, blue=193)
(-57.41, 28.94), RGB(red=139, green=87, blue=66)
(-8.32, -27.74), RGB(red=34, green=139, blue=34)
(58.18, -37.86), RGB(red=255, green=193, blue=193)
(6.98, 59.89), RGB(red=255, green=236, blue=139)
(-57.38, 6.13), RGB(red=139, green=87, blue=66)
(51.64, -30.56), RGB(red=255, green=193, blue=193)
(2.1, -51.54), RGB(red=255, green=193, blue=193)
(-38.4, 35.33), RGB(red=139, green=87, blue=66)
(32.46, -16.63), RGB(red=255, green=193, blue=193)
(-55.62, 13.21), RGB(red=139, green=87, blue=66)
(6.16, 16.48), RGB(red=255, green=236, blue=139)
(-20.37, 39.58), RGB(red=139, green=87, blue=66)
(-2.89, 25.67), RGB(red=139, green=87, blue=66)
(23.5, 27.91), RGB(red=255, green=236, blue=139)
(-47.22, 51.57), RGB(red=139, green=87, blue=66)
(14.17, 40.16), RGB(red=255, green=236, blue=139)
(3.11, -15.33), RGB(red=255, green=193, blue=193)
(-37.6, -55.05), RGB(red=34, green=139, blue=34)
(-49.0, -7.37), RGB(red=34, green=139, blue=34)
(-30.72, 3.57), RGB(red=139, green=87, blue=66)
(8.7, 55.7), RGB(red=255, green=236, blue=139)
(26.49, 15.13), RGB(red=255, green=236, blue=139)
(-54.41, -14.6), RGB(red=34, green=139, blue=34)
(48.66, -34.32), RGB(red=255, green=193, blue=193)
(19.85, -42.39), RGB(red=255, green=193, blue=193)
(-58.47, 7.59), RGB(red=139, green=87, blue=66)
(-20.16, -6.55), RGB(red=34, green=139, blue=34)
(19.75, -45.29), RGB(red=255, green=193, blue=193)
(50.4, 45.13), RGB(red=255, green=236, blue=139)
(-45.93, -49.81), RGB(red=34, green=139, blue=34)
(19.63, -48.04), RGB(red=255, green=193, blue=193)
(26.74, -13.32), RGB(red=255, green=193, blue=193)
(-31.93, 35.42), RGB(red=139, green=87, blue=66)
(0.68, 17.58), RGB(red=255, green=236, blue=139)
(37.95, 10.75), RGB(red=255, green=236, blue=139)
(-44.07, -28.42), RGB(red=34, green=139, blue=34)
(56.37, 27.47), RGB(red=255, green=236, blue=139)
(30.49, 14.28), RGB(red=255, green=236, blue=139)
(-45.78, 27.68), RGB(red=139, green=87, blue=66)
(-0.71, 57.8), RGB(red=139, green=87, blue=66)
(42.62, -21.49), RGB(red=255, green=193, blue=193)
(-11.14, -27.07), RGB(red=34, green=139, blue=34)
(-42.61, 53.73), RGB(red=139, green=87, blue=66)
(30.64, -12.65), RGB(red=255, green=193, blue=193)
(16.49, -47.76), RGB(red=255, green=193, blue=193)
(34.48, -6.43), RGB(red=255, green=193, blue=193)
(-33.64, -50.72), RGB(red=34, green=139, blue=34)
(-14.52, 48.27), RGB(red=139, green=87, blue=66)
(-37.31, -16.43), RGB(red=34, green=139, blue=34)
(-25.85, 34.78), RGB(red=139, green=87, blue=66)
(-48.22, 9.42), RGB(red=139, green=87, blue=66)
(-7.02, 53.22), RGB(red=139, green=87, blue=66)
(-1.02, 16.09), RGB(red=139, green=87, blue=66)
(43.55, -4.48), RGB(red=255, green=193, blue=193)
(-8.68, -27.18), RGB(red=34, green=139, blue=34)
(-48.03, -15.24), RGB(red=34, green=139, blue=34)
(36.81, 34.02), RGB(red=255, green=236, blue=139)
(-8.51, -32.29), RGB(red=34, green=139, blue=34)
(19.11, 34.62), RGB(red=255, green=236, blue=139)
(-36.66, -35.09), RGB(red=34, green=139, blue=34)
(38.19, 12.13), RGB(red=255, green=236, blue=139)
(38.0, 18.09), RGB(red=255, green=236, blue=139)
(-44.55, -43.95), RGB(red=34, green=139, blue=34)
(-8.21, 36.65), RGB(red=139, green=87, blue=66)
(1.13, -41.54), RGB(red=255, green=193, blue=193)
(-1.37, -51.96), RGB(red=255, green=193, blue=193)
(-1.92, -30.87), RGB(red=34, green=139, blue=34)
(-9.1, -48.13), RGB(red=34, green=139, blue=34)
(-5.22, 1.8), RGB(red=34, green=139, blue=34)
(1.05, -5.79), RGB(red=255, green=193, blue=193)
(17.87, 21.72), RGB(red=255, green=236, blue=139)
(41.02, -53.12), RGB(red=255, green=193, blue=193)
(12.83, -55.07), RGB(red=255, green=193, blue=193)
(-14.49, -27.56), RGB(red=34, green=139, blue=34)
(36.59, -40.89), RGB(red=255, green=193, blue=193)
(21.73, 21.27), RGB(red=255, green=236, blue=139)
(-15.24, 43.48), RGB(red=139, green=87, blue=66)
(55.23, -10.75), RGB(red=255, green=193, blue=193)
(-58.23, -19.58), RGB(red=34, green=139, blue=34)
(-39.68, 54.63), RGB(red=139, green=87, blue=66)
(-0.21, -51.83), RGB(red=255, green=193, blue=193)
(18.61, -34.21), RGB(red=255, green=193, blue=193)
(54.52, 58.06), RGB(red=255, green=236, blue=139)
(-16.33, 27.87), RGB(red=139, green=87, blue=66)
(-36.15, 50.47), RGB(red=139, green=87, blue=66)
(-12.99, 54.23), RGB(red=139, green=87, blue=66)
(30.58, 44.37), RGB(red=255, green=236, blue=139)
(41.51, -37.14), RGB(red=255, green=193, blue=193)
(48.64, -17.7), RGB(red=255, green=193, blue=193)
(9.06, -20.52), RGB(red=255, green=193, blue=193)
(-36.94, 17.55), RGB(red=139, green=87, blue=66)
(58.41, -50.58), RGB(red=255, green=193, blue=193)
(49.66, 13.57), RGB(red=255, green=236, blue=139)
(-44.38, 54.73), RGB(red=139, green=87, blue=66)
(23.78, -47.26), RGB(red=255, green=193, blue=193)
(23.41, -23.15), RGB(red=255, green=193, blue=193)
(-18.74, 45.24), RGB(red=139, green=87, blue=66)
(-30.08, 13.33), RGB(red=139, green=87, blue=66)
(50.23, 13.25), RGB(red=255, green=236, blue=139)
(34.37, 47.96), RGB(red=255, green=236, blue=139)
(26.29, -32.62), RGB(red=255, green=193, blue=193)
(56.67, 30.47), RGB(red=255, green=236, blue=139)
(-47.31, -11.39), RGB(red=34, green=139, blue=34)
(-58.94, -46.94), RGB(red=34, green=139, blue=34)
(-13.69, 37.02), RGB(red=139, green=87, blue=66)
(28.83, -16.01), RGB(red=255, green=193, blue=193)
(-37.53, -57.02), RGB(red=34, green=139, blue=34)
(-50.03, 11.56), RGB(red=139, green=87, blue=66)
(38.44, 27.49), RGB(red=255, green=236, blue=139)
(-37.86, -8.56), RGB(red=34, green=139, blue=34)
(26.0, 27.82), RGB(red=255, green=236, blue=139)
(-53.5, 50.75), RGB(red=139, green=87, blue=66)
(-47.0, -59.81), RGB(red=34, green=139, blue=34)
(-4.6, -28.68), RGB(red=34, green=139, blue=34)
(-23.46, 29.49), RGB(red=139, green=87, blue=66)
(-44.86, 50.99), RGB(red=139, green=87, blue=66)
(33.94, 14.63), RGB(red=255, green=236, blue=139)
(40.11, -35.42), RGB(red=255, green=193, blue=193)
(-5.12, 58.96), RGB(red=139, green=87, blue=66)
(-28.82, -38.06), RGB(red=34, green=139, blue=34)
(4.11, -52.02), RGB(red=255, green=193, blue=193)
(22.43, -56.16), RGB(red=255, green=193, blue=193)
(28.17, 28.17), RGB(red=255, green=236, blue=139)
(37.38, 37.73), RGB(red=255, green=236, blue=139)
(25.09, -44.56), RGB(red=255, green=193, blue=193)
(36.34, 41.55), RGB(red=255, green=236, blue=139)
(-2.82, -44.28), RGB(red=34, green=139, blue=34)
(-41.53, -32.86), RGB(red=34, green=139, blue=34)
(39.69, 37.06), RGB(red=255, green=236, blue=139)
(50.43, -3.96), RGB(red=255, green=193, blue=193)
(-31.84, 55.9), RGB(red=139, green=87, blue=66)
(-9.1, 43.83), RGB(red=139, green=87, blue=66)
(46.54, 23.78), RGB(red=255, green=236, blue=139)
(8.28, 3.4), RGB(red=255, green=236, blue=139)
(28.63, -13.41), RGB(red=255, green=193, blue=193)
(30.07, 32.47), RGB(red=255, green=236, blue=139)
(19.96, 54.7), RGB(red=255, green=236, blue=139)
(9.37, 13.59), RGB(red=255, green=236, blue=139)
(-21.62, -51.44), RGB(red=34, green=139, blue=34)
(21.35, -0.72), RGB(red=255, green=193, blue=193)
(29.85, 49.14), RGB(red=255, green=236, blue=139)
(24.51, -56.34), RGB(red=255, green=193, blue=193)
(54.28, 15.83), RGB(red=255, green=236, blue=139)
(41.25, 51.04), RGB(red=255, green=236, blue=139)
(32.31, -50.26), RGB(red=255, green=193, blue=193)
(8.01, -3.33), RGB(red=255, green=193, blue=193)
(-53.85, -23.33), RGB(red=34, green=139, blue=34)
(7.75, -47.85), RGB(red=255, green=193, blue=193)
(45.68, -30.12), RGB(red=255, green=193, blue=193)
(2.57, 24.11), RGB(red=255, green=236, blue=139)
(9.69, 50.36), RGB(red=255, green=236, blue=139)
(-8.43, -44.92), RGB(red=34, green=139, blue=34)
(-17.65, -30.1), RGB(red=34, green=139, blue=34)
(-14.7, -10.1), RGB(red=34, green=139, blue=34)
(-49.22, 59.08), RGB(red=139, green=87, blue=66)
(-36.02, 20.36), RGB(red=139, green=87, blue=66)
(-54.66, 9.46), RGB(red=139, green=87, blue=66)
(-6.44, 36.79), RGB(red=139, green=87, blue=66)
(-19.44, -26.14), RGB(red=34, green=139, blue=34)
(6.77, -28.95), RGB(red=255, green=193, blue=193)
(-42.6, -31.9), RGB(red=34, green=139, blue=34)
(-25.42, -20.28), RGB(red=34, green=139, blue=34)
(34.89, -4.17), RGB(red=255, green=193, blue=193)
(-29.31, -15.48), RGB(red=34, green=139, blue=34)
(19.95, -2.5), RGB(red=255, green=193, blue=193)
(9.82, -32.37), RGB(red=255, green=193, blue=193)
(-56.74, -56.98), RGB(red=34, green=139, blue=34)
(43.46, 15.54), RGB(red=255, green=236, blue=139)
(12.48, -52.79), RGB(red=255, green=193, blue=193)
(-40.62, -32.85), RGB(red=34, green=139, blue=34)
(-7.21, -37.47), RGB(red=34, green=139, blue=34)
(6.57, 46.37), RGB(red=255, green=236, blue=139)
(3.27, -9.66), RGB(red=255, green=193, blue=193)
(44.06, -41.26), RGB(red=255, green=193, blue=193)
(-41.21, 46.97), RGB(red=139, green=87, blue=66)
(16.38, 4.66), RGB(red=255, green=236, blue=139)
(-20.86, -26.87), RGB(red=34, green=139, blue=34)
(21.51, 31.67), RGB(red=255, green=236, blue=139)
(17.69, -57.6), RGB(red=255, green=193, blue=193)
(14.88, -40.24), RGB(red=255, green=193, blue=193)
(-33.75, -45.9), RGB(red=34, green=139, blue=34)
(-38.32, -26.58), RGB(red=34, green=139, blue=34)
(-40.51, 7.27), RGB(red=139, green=87, blue=66)
(36.81, -34.66), RGB(red=255, green=193, blue=193)
(-39.08, 13.95), RGB(red=139, green=87, blue=66)
(-23.86, 43.45), RGB(red=139, green=87, blue=66)
(41.47, -54.36), RGB(red=255, green=193, blue=193)
(-20.99, 10.8), RGB(red=139, green=87, blue=66)
(-49.22, -50.03), RGB(red=34, green=139, blue=34)
(-7.21, -45.78), RGB(red=34, green=139, blue=34)
(-14.53, -17.06), RGB(red=34, green=139, blue=34)
(-42.72, -0.15), RGB(red=34, green=139, blue=34)
(41.86, -11.59), RGB(red=255, green=193, blue=193)
(41.41, 47.06), RGB(red=255, green=236, blue=139)
(-9.73, 12.88), RGB(red=139, green=87, blue=66)
(-59.18, 37.51), RGB(red=139, green=87, blue=66)
(53.79, -46.81), RGB(red=255, green=193, blue=193)
(19.03, 32.26), RGB(red=255, green=236, blue=139)
(-55.39, -47.23), RGB(red=34, green=139, blue=34)
(-33.52, -4.91), RGB(red=34, green=139, blue=34)
(16.17, -40.88), RGB(red=255, green=193, blue=193)
(-6.47, 10.1), RGB(red=139, green=87, blue=66)
(54.09, -17.58), RGB(red=255, green=193, blue=193)
(-39.16, 0.69), RGB(red=34, green=139, blue=34)
(12.9, -10.36), RGB(red=255, green=193, blue=193)
(-10.46, -1.67), RGB(red=34, green=139, blue=34)
(36.4, -57.59), RGB(red=255, green=193, blue=193)
(-59.23, 43.63), RGB(red=139, green=87, blue=66)
(-34.91, 59.17), RGB(red=139, green=87, blue=66)
(54.92, -27.3), RGB(red=255, green=193, blue=193)
(21.81, -27.65), RGB(red=255, green=193, blue=193)
(5.49, 49.14), RGB(red=255, green=236, blue=139)
(-18.03, -42.52), RGB(red=34, green=139, blue=34)
(-4.01, -11.21), RGB(red=34, green=139, blue=34)
(54.14, -36.33), RGB(red=255, green=193, blue=193)
(1.61, -1.42), RGB(red=255, green=193, blue=193)
(-9.65, -1.36), RGB(red=34, green=139, blue=34)
(-8.48, -31.36), RGB(red=34, green=139, blue=34)
(-42.25, 42.9), RGB(red=139, green=87, blue=66)
(-8.18, -49.39), RGB(red=34, green=139, blue=34)
(23.88, -18.96), RGB(red=255, green=193, blue=193)
(32.07, -36.54), RGB(red=255, green=193, blue=193)
(-5.09, 57.49), RGB(red=139, green=87, blue=66)
(45.7, -49.77), RGB(red=255, green=193, blue=193)
(-6.6, 19.41), RGB(red=139, green=87, blue=66)
(41.52, 5.43), RGB(red=255, green=236, blue=139)
(0.54, -34.57), RGB(red=255, green=193, blue=193)
(-59.69, -39.93), RGB(red=34, green=139, blue=34)
(-48.14, 21.19), RGB(red=139, green=87, blue=66)
(1.88, 9.33), RGB(red=255, green=236, blue=139)
(48.89, 56.6), RGB(red=255, green=236, blue=139)
(-46.26, 27.08), RGB(red=139, green=87, blue=66)
(-11.21, -59.43), RGB(red=34, green=139, blue=34)
(-14.55, -55.28), RGB(red=34, green=139, blue=34)
(-4.26, 48.64), RGB(red=139, green=87, blue=66)
(43.5, -58.99), RGB(red=255, green=193, blue=193)
(57.38, 37.07), RGB(red=255, green=236, blue=139)
(-53.56, 15.04), RGB(red=139, green=87, blue=66)
(2.56, -48.5), RGB(red=255, green=193, blue=193)
(-28.97, -32.98), RGB(red=34, green=139, blue=34)
(-42.28, 19.42), RGB(red=139, green=87, blue=66)
(-43.09, 16.19), RGB(red=139, green=87, blue=66)
(38.66, 5.08), RGB(red=255, green=236, blue=139)
(11.47, -29.07), RGB(red=255, green=193, blue=193)
(27.98, 57.42), RGB(red=255, green=236, blue=139)
(5.13, -19.43), RGB(red=255, green=193, blue=193)
(-32.86, -33.42), RGB(red=34, green=139, blue=34)
(-55.9, 26.2), RGB(red=139, green=87, blue=66)
(-16.24, 54.79), RGB(red=139, green=87, blue=66)
(6.17, -39.5), RGB(red=255, green=193, blue=193)
(-39.81, 15.64), RGB(red=139, green=87, blue=66)
(14.65, -36.69), RGB(red=255, green=193, blue=193)
(47.28, 45.44), RGB(red=255, green=236, blue=139)
(46.27, -18.73), RGB(red=255, green=193, blue=193)
(10.14, -31.69), RGB(red=255, green=193, blue=193)
(29.13, 8.71), RGB(red=255, green=236, blue=139)
(-55.97, -20.42), RGB(red=34, green=139, blue=34)
(-24.24, 34.92), RGB(red=139, green=87, blue=66)
(30.89, -28.72), RGB(red=255, green=193, blue=193)
(-11.87, -55.85), RGB(red=34, green=139, blue=34)
(33.61, -46.79), RGB(red=255, green=193, blue=193)
(-18.89, -15.58), RGB(red=34, green=139, blue=34)
