(-12.21, 18.59), RGB(red=255, green=131, blue=250)
(-41.58, 25.33), RGB(red=139, green=71, blue=137)
(-42.43, 29.91), RGB(red=139, green=71, blue=137)
(-39.48, 43.18), RGB(red=139, green=71, blue=137)
(-47.68, 39.61), RGB(red=139, green=71, blue=137)
(-51.72, 36.34), RGB(red=139, green=71, blue=137)
(-39.98, 28.33), RGB(red=139, green=71, blue=137)
(-52.49, 51.21), RGB(red=139, green=71, blue=137)
(-57.77, 34.77), RGB(red=139, green=71, blue=137)
(-52.17, 34.5), RGB(red=139, green=71, blue=137)
(-36.07, 39.94), RGB(red=139, green=71, blue=137)
(-41.81, 32.56), RGB(red=139, green=71, blue=137)
(-56.93, 49.69), RGB(red=139, green=71, blue=137)
(-37.82, 47.08), RGB(red=139, green=71, blue=137)
(-52.98, 35.02), RGB(red=139, green=71, blue=137)
(-45.45, 34.78), RGB(red=139, green=71, blue=137)
(-44.84, 27.38), RGB(red=139, green=71, blue=137)
(-57.06, 58.69), RGB(red=139, green=71, blue=137)
(-39.65, 24.77), RGB(red=139, green=71, blue=137)
(-57.42, 14.3), RGB(red=139, green=71, blue=137)
(-44.09, 47.74), RGB(red=139, green=71, blue=137)
(-46.8, 37.6), RGB(red=139, green=71, blue=137)
(-38.63, 43.91), RGB(red=139, green=71, blue=137)
(-51.35, 15.73), RGB(red=139, green=71, blue=137)
(-46.59, 45.09), RGB(red=139, green=71, blue=137)
(-58.85, 47.38), RGB(red=139, green=71, blue=137)
(-59.36, 42.88), RGB(red=139, green=71, blue=137)
(-55.71, 35.53), RGB(red=139, green=71, blue=137)
(-47.68, 31.84), RGB(red=139, green=71, blue=137)
(-59.57, -46.81), RGB(red=227, green=168, blue=105)
(-32.51, -55.29), RGB(red=227, green=168, blue=105)
(-57.1, -35.23), RGB(red=227, green=168, blue=105)
(-42.15, -51.01), RGB(red=227, green=168, blue=105)
(-30.1, -59.98), RGB(red=227, green=168, blue=105)
(-32.38, -56.18), RGB(red=227, green=168, blue=105)
(-38.55, -40.65), RGB(red=227, green=168, blue=105)
(-32.02, -57.74), RGB(red=227, green=168, blue=105)
(-46.07, -51.2), RGB(red=227, green=168, blue=105)
(-56.48, -42.59), RGB(red=227, green=168, blue=105)
(-56.93, -54.47), RGB(red=227, green=168, blue=105)
(-54.49, -43.75), RGB(red=227, green=168, blue=105)
(-37.82, -56.43), RGB(red=227, green=168, blue=105)
(-42.92, -37.19), RGB(red=227, green=168, blue=105)
(-57.66, -40.7), RGB(red=227, green=168, blue=105)
(-51.47, -42.49), RGB(red=227, green=168, blue=105)
(-50.73, -55.37), RGB(red=227, green=168, blue=105)
(-51.25, -35.44), RGB(red=227, green=168, blue=105)
(-56.15, -59.19), RGB(red=227, green=168, blue=105)
(-45.67, -55.28), RGB(red=227, green=168, blue=105)
(-36.41, -46.7), RGB(red=227, green=168, blue=105)
(-54.4, -43.34), RGB(red=227, green=168, blue=105)
(-30.52, -56.27), RGB(red=227, green=168, blue=105)
(-55.58, -34.22), RGB(red=227, green=168, blue=105)
(-30.07, -58.63), RGB(red=227, green=168, blue=105)
(-45.42, -35.89), RGB(red=227, green=168, blue=105)
(-28.94, -58.71), RGB(red=227, green=168, blue=105)
(-38.44, -58.23), RGB(red=227, green=168, blue=105)
(-36.94, -41.96), RGB(red=227, green=168, blue=105)
(-54.21, -41.2), RGB(red=227, green=168, blue=105)
(-54.22, -34.02), RGB(red=227, green=168, blue=105)
(-53.89, -54.73), RGB(red=227, green=168, blue=105)
(-43.45, -41.39), RGB(red=227, green=168, blue=105)
(-40.56, -52.24), RGB(red=227, green=168, blue=105)
(-29.35, -55.93), RGB(red=227, green=168, blue=105)
(-42.2, -39.69), RGB(red=227, green=168, blue=105)
(-53.54, -46.6), RGB(red=227, green=168, blue=105)
(-51.43, -43.25), RGB(red=227, green=168, blue=105)
(-38.06, -59.16), RGB(red=227, green=168, blue=105)
(-59.22, -52.22), RGB(red=227, green=168, blue=105)
(-59.16, -36.87), RGB(red=227, green=168, blue=105)
(-36.97, -55.44), RGB(red=227, green=168, blue=105)
(-33.56, -43.36), RGB(red=227, green=168, blue=105)
(-50.18, -44.03), RGB(red=227, green=168, blue=105)
(-37.82, -40.7), RGB(red=227, green=168, blue=105)
(-48.02, -36.75), RGB(red=227, green=168, blue=105)
(-43.95, -40.41), RGB(red=227, green=168, blue=105)
(-52.12, -37.25), RGB(red=227, green=168, blue=105)
(-42.04, -55.73), RGB(red=227, green=168, blue=105)
(-41.61, -46.78), RGB(red=227, green=168, blue=105)
(-40.58, -57.63), RGB(red=227, green=168, blue=105)
(-58.77, -35.89), RGB(red=227, green=168, blue=105)
(-31.51, -59.97), RGB(red=227, green=168, blue=105)
(-33.11, -44.78), RGB(red=227, green=168, blue=105)
(-56.52, -49.56), RGB(red=227, green=168, blue=105)
(-40.41, -53.74), RGB(red=227, green=168, blue=105)
(-29.39, -55.44), RGB(red=227, green=168, blue=105)
(-48.83, -41.46), RGB(red=227, green=168, blue=105)
(-49.85, -56.64), RGB(red=227, green=168, blue=105)
(-31.97, -54.08), RGB(red=227, green=168, blue=105)
(-56.96, -53.56), RGB(red=227, green=168, blue=105)
(-40.78, -45.76), RGB(red=227, green=168, blue=105)
(-55.97, -53.06), RGB(red=227, green=168, blue=105)
(-50.51, -48.14), RGB(red=227, green=168, blue=105)
(-56.22, -45.99), RGB(red=227, green=168, blue=105)
(-53.88, -45.5), RGB(red=227, green=168, blue=105)
(-53.14, -35.33), RGB(red=227, green=168, blue=105)
(-43.98, -56.87), RGB(red=227, green=168, blue=105)
(-47.87, -53.76), RGB(red=227, green=168, blue=105)
(-46.71, -36.35), RGB(red=227, green=168, blue=105)
(-49.68, -47.02), RGB(red=227, green=168, blue=105)
(-54.99, -34.84), RGB(red=227, green=168, blue=105)
(-49.37, -42.36), RGB(red=227, green=168, blue=105)
(-51.64, -55.39), RGB(red=227, green=168, blue=105)
(-56.7, -35.25), RGB(red=227, green=168, blue=105)
(-41.26, -58.66), RGB(red=227, green=168, blue=105)
(-32.71, -55.85), RGB(red=227, green=168, blue=105)
(-46.17, -57.66), RGB(red=227, green=168, blue=105)
(-59.76, -58.8), RGB(red=227, green=168, blue=105)
(-57.34, -54.89), RGB(red=227, green=168, blue=105)
(-55.96, -56.92), RGB(red=227, green=168, blue=105)
(-39.06, -48.24), RGB(red=227, green=168, blue=105)
(-50.56, -43.78), RGB(red=227, green=168, blue=105)
(-45.72, -49.1), RGB(red=227, green=168, blue=105)
(-43.49, -56.01), RGB(red=227, green=168, blue=105)
(-52.91, -38.87), RGB(red=227, green=168, blue=105)
(-44.28, -47.02), RGB(red=227, green=168, blue=105)
(-55.82, -47.42), RGB(red=227, green=168, blue=105)
(-44.59, -38.59), RGB(red=227, green=168, blue=105)
(-58.82, -48.41), RGB(red=227, green=168, blue=105)
(54.69, 30.06), RGB(red=122, green=197, blue=205)
(59.79, -1.42), RGB(red=122, green=197, blue=205)
(57.22, -0.06), RGB(red=122, green=197, blue=205)
(45.96, 11.62), RGB(red=122, green=197, blue=205)
(39.51, 2.15), RGB(red=122, green=197, blue=205)
(48.51, 14.18), RGB(red=122, green=197, blue=205)
(30.81, 18.53), RGB(red=122, green=197, blue=205)
(56.66, 19.4), RGB(red=122, green=197, blue=205)
(55.69, 16.22), RGB(red=122, green=197, blue=205)
(39.56, 34.35), RGB(red=122, green=197, blue=205)
(39.65, 9.02), RGB(red=122, green=197, blue=205)
(40.96, 30.14), RGB(red=122, green=197, blue=205)
(51.61, 37.78), RGB(red=122, green=197, blue=205)
(43.32, 3.44), RGB(red=122, green=197, blue=205)
(46.46, -0.38), RGB(red=122, green=197, blue=205)
(29.53, 23.04), RGB(red=122, green=197, blue=205)
(41.42, 30.45), RGB(red=122, green=197, blue=205)
(57.31, -2.55), RGB(red=122, green=197, blue=205)
(53.23, -1.8), RGB(red=122, green=197, blue=205)
(57.69, 29.16), RGB(red=122, green=197, blue=205)
(48.36, 10.4), RGB(red=122, green=197, blue=205)
(48.99, 21.35), RGB(red=122, green=197, blue=205)
(59.66, 11.72), RGB(red=122, green=197, blue=205)
(32.04, 23.98), RGB(red=122, green=197, blue=205)
(37.9, -2.6), RGB(red=122, green=197, blue=205)
(44.67, -5.41), RGB(red=122, green=197, blue=205)
(56.96, 38.22), RGB(red=122, green=197, blue=205)
(35.93, 29.94), RGB(red=122, green=197, blue=205)
(32.92, 22.22), RGB(red=122, green=197, blue=205)
(36.54, 35.18), RGB(red=122, green=197, blue=205)
(43.76, 18.71), RGB(red=122, green=197, blue=205)
(40.53, 37.85), RGB(red=122, green=197, blue=205)
(43.61, 35.14), RGB(red=122, green=197, blue=205)
(43.45, 27.39), RGB(red=122, green=197, blue=205)
(44.6, 22.02), RGB(red=122, green=197, blue=205)
(43.12, 29.86), RGB(red=122, green=197, blue=205)
(41.57, 7.73), RGB(red=122, green=197, blue=205)
(44.95, -2.71), RGB(red=122, green=197, blue=205)
(42.79, 13.06), RGB(red=122, green=197, blue=205)
(34.99, 15.54), RGB(red=122, green=197, blue=205)
(52.6, 27.13), RGB(red=122, green=197, blue=205)
(57.71, 23.79), RGB(red=122, green=197, blue=205)
(33.62, 9.27), RGB(red=122, green=197, blue=205)
(41.51, 5.3), RGB(red=122, green=197, blue=205)
(37.12, 32.5), RGB(red=122, green=197, blue=205)
(53.6, 28.74), RGB(red=122, green=197, blue=205)
(49.67, 24.6), RGB(red=122, green=197, blue=205)
(40.1, 20.75), RGB(red=122, green=197, blue=205)
(53.36, 38.03), RGB(red=122, green=197, blue=205)
(44.65, 17.15), RGB(red=122, green=197, blue=205)
(48.97, 29.46), RGB(red=122, green=197, blue=205)
(33.85, -0.41), RGB(red=122, green=197, blue=205)
(55.09, 1.61), RGB(red=122, green=197, blue=205)
(59.79, 34.0), RGB(red=122, green=197, blue=205)
(41.53, 25.4), RGB(red=122, green=197, blue=205)
(27.88, 23.15), RGB(red=122, green=197, blue=205)
(45.92, 3.55), RGB(red=122, green=197, blue=205)
(52.98, 9.82), RGB(red=122, green=197, blue=205)
(59.18, 0.51), RGB(red=122, green=197, blue=205)
(51.6, 4.64), RGB(red=122, green=197, blue=205)
(41.24, -4.07), RGB(red=122, green=197, blue=205)
(55.31, 38.32), RGB(red=122, green=197, blue=205)
(42.64, 35.32), RGB(red=122, green=197, blue=205)
(34.11, 9.93), RGB(red=122, green=197, blue=205)
(57.87, -3.39), RGB(red=122, green=197, blue=205)
(40.62, 5.04), RGB(red=122, green=197, blue=205)
(25.01, 18.87), RGB(red=122, green=197, blue=205)
(50.82, 4.02), RGB(red=122, green=197, blue=205)
(56.12, 8.05), RGB(red=122, green=197, blue=205)
(34.37, 1.15), RGB(red=122, green=197, blue=205)
(35.93, 15.75), RGB(red=122, green=197, blue=205)
(50.01, -5.74), RGB(red=122, green=197, blue=205)
(42.26, 20.24), RGB(red=122, green=197, blue=205)
(59.71, 31.24), RGB(red=122, green=197, blue=205)
(30.65, 4.82), RGB(red=122, green=197, blue=205)
(48.95, -5.04), RGB(red=122, green=197, blue=205)
(57.52, 10.69), RGB(red=122, green=197, blue=205)
(31.45, 13.74), RGB(red=122, green=197, blue=205)
(52.79, 30.25), RGB(red=122, green=197, blue=205)
(44.63, -3.07), RGB(red=122, green=197, blue=205)
(54.08, 2.1), RGB(red=122, green=197, blue=205)
(46.22, 4.86), RGB(red=122, green=197, blue=205)
(50.22, -3.09), RGB(red=122, green=197, blue=205)
(51.39, 18.59), RGB(red=122, green=197, blue=205)
(43.39, 19.14), RGB(red=122, green=197, blue=205)
(36.58, 32.68), RGB(red=122, green=197, blue=205)
(26.61, 20.7), RGB(red=122, green=197, blue=205)
(33.87, 24.1), RGB(red=122, green=197, blue=205)
(37.41, 25.1), RGB(red=122, green=197, blue=205)
(30.47, 14.24), RGB(red=122, green=197, blue=205)
